Next_Q_GDP_Growth_Pct,Year,Quarter,Current_GDP_Growth_Pct,Unemployment_Rate_Pct,Fed_Funds_Rate_Pct,Inflation_Rate_YoY_Pct,Consumer_Sentiment_Idx,Yield_Curve_Spread_Pct,ISM_Manufacturing_PMI,Housing_Starts_Thousands
-0.55,1974,1,-0.40,5.1,9.50,10.2,79.2,0.30,52.1,1580
-1.20,1974,2,-0.55,5.3,11.00,11.1,72.5,-0.50,49.5,1450
-1.80,1974,3,-1.20,5.6,11.75,11.9,65.8,-1.10,45.8,1290
-0.60,1974,4,-1.80,6.6,10.50,12.1,59.4,-1.40,41.2,1110
1.30,1975,1,-0.60,8.1,7.00,11.5,58.0,-0.90,39.5,990
1.15,1975,2,1.30,8.6,5.75,9.5,72.8,0.20,44.1,1150
1.40,1975,3,1.15,8.5,6.25,8.1,75.1,0.55,47.7,1280
1.25,1975,4,1.40,8.3,5.50,7.0,78.3,0.90,50.8,1410
0.80,1976,1,1.25,7.9,4.80,6.1,82.5,1.15,53.1,1490
0.65,1976,2,0.80,7.6,5.25,5.9,86.0,1.25,54.0,1540
0.70,1976,3,0.65,7.5,5.15,5.5,87.2,1.30,54.5,1570
1.30,1976,4,0.70,7.4,4.75,5.1,88.1,1.40,55.1,1610
1.10,1977,1,1.30,7.1,4.60,5.9,86.5,1.45,55.9,1680
1.50,1977,2,1.10,6.9,5.40,6.7,88.0,1.35,56.5,1750
0.95,1977,3,1.50,6.7,6.10,6.6,85.1,1.10,56.0,1710
0.10,1977,4,0.95,6.4,6.50,6.7,82.4,0.80,55.2,1660
2.20,1978,1,0.10,6.2,6.80,6.5,78.8,0.60,54.7,1600
0.85,1978,2,2.20,6.0,7.50,7.1,81.0,0.40,55.5,1650
0.90,1978,3,0.85,5.9,8.40,7.9,80.1,0.15,56.1,1690
0.40,1978,4,0.90,5.9,10.00,8.9,75.3,-0.25,56.4,1720
-0.80,1979,1,0.40,5.8,10.10,9.8,72.1,-0.50,55.9,1680
0.90,1979,2,-0.80,5.7,10.30,10.9,68.5,-0.75,54.5,1610
0.45,1979,3,0.90,5.8,11.60,11.8,65.9,-1.10,52.3,1530
-1.90,1979,4,0.45,5.9,13.75,12.9,64.0,-1.50,49.8,1450
-0.10,1980,1,-1.90,6.3,17.20,14.0,58.8,-2.10,45.1,1280
0.30,1980,2,-0.10,7.3,11.50,14.4,53.1,-1.50,41.5,1110
1.80,1980,3,0.30,7.6,9.75,12.9,68.5,0.30,46.0,1250
-1.10,1980,4,1.80,7.2,18.90,12.0,72.1,0.80,50.1,1420
0.70,1981,1,-1.10,7.4,15.50,10.6,69.0,-0.10,48.5,1350
-0.70,1981,2,0.70,7.4,19.10,9.8,73.5,-0.90,47.2,1240
-1.50,1981,3,-0.70,7.8,15.20,9.2,70.1,-1.40,45.0,1100
1.20,1981,4,-1.50,8.5,12.40,8.1,63.8,-1.00,42.3,950
0.50,1982,1,1.20,8.9,14.75,7.0,65.5,0.10,44.5,980
-0.30,1982,2,0.50,9.4,13.50,6.2,66.0,0.35,43.8,1010
0.90,1982,3,-0.30,10.1,10.20,5.1,68.1,0.70,42.1,1050
1.30,1982,4,0.90,10.8,8.80,4.0,71.5,1.10,45.0,1190
2.10,1983,1,1.30,10.4,8.50,3.7,76.0,1.50,48.8,1350
1.90,1983,2,2.10,10.1,9.10,3.0,84.1,1.75,52.5,1510
1.60,1983,3,1.90,9.5,9.50,2.9,89.3,1.90,55.1,1620
1.70,1983,4,1.60,8.5,9.60,3.3,91.5,2.05,56.8,1690
1.20,1984,1,1.70,8.1,9.50,3.8,94.2,2.10,57.9,1780
0.80,1984,2,1.20,7.4,11.00,4.2,96.0,1.80,57.1,1750
0.65,1984,3,0.80,7.3,11.60,4.1,95.1,1.50,55.5,1680
0.95,1984,4,0.65,7.2,8.75,3.9,93.8,1.70,54.0,1630
0.80,1985,1,0.95,7.2,8.40,3.7,92.9,1.85,53.1,1600
1.05,1985,2,0.80,7.2,7.80,3.8,91.5,1.95,52.5,1590
1.10,1985,3,1.05,7.1,8.00,3.4,90.8,2.00,52.0,1580
0.70,1985,4,1.10,7.0,8.20,3.0,92.1,1.90,51.8,1610
0.50,1986,1,0.70,7.0,7.60,2.2,91.0,1.50,51.2,1650
0.60,1986,2,0.50,7.0,6.80,1.6,92.5,1.60,50.9,1670
0.75,1986,3,0.60,6.9,5.90,1.4,93.1,1.75,50.7,1660
0.90,1986,4,0.75,6.7,6.40,1.3,94.5,1.80,51.0,1690
0.80,1987,1,0.90,6.6,6.10,2.0,93.8,1.90,51.9,1720
1.00,1987,2,0.80,6.3,6.60,3.7,92.0,1.95,52.8,1710
1.25,1987,3,1.00,6.0,7.10,4.3,90.5,1.85,53.9,1680
0.90,1987,4,1.25,5.8,6.80,4.4,88.1,1.70,54.5,1630
0.95,1988,1,0.90,5.7,6.60,3.9,90.5,1.90,55.1,1590
1.15,1988,2,0.95,5.4,7.30,4.0,92.1,1.80,55.9,1550
0.75,1988,3,1.15,5.4,8.10,4.2,91.0,1.50,56.3,1510
0.90,1988,4,0.75,5.3,8.80,4.4,90.2,1.10,56.0,1490
0.60,1989,1,0.90,5.2,9.80,4.6,89.5,0.60,55.1,1460
0.40,1989,2,0.60,5.2,9.20,5.1,88.1,0.30,53.9,1420
0.30,1989,3,0.40,5.3,8.90,4.7,87.0,0.15,52.0,1380
0.80,1989,4,0.30,5.3,8.40,4.5,86.5,0.25,50.5,1350
0.50,1990,1,0.80,5.3,8.25,4.9,85.9,0.35,50.1,1380
-0.10,1990,2,0.50,5.4,8.10,5.2,84.8,0.20,49.7,1330
-0.80,1990,3,-0.10,5.7,8.00,6.1,78.1,-0.10,47.5,1250
0.15,1990,4,-0.80,6.2,7.00,6.3,69.5,-0.35,44.8,1150
0.70,1991,1,0.15,6.6,6.10,5.5,72.4,0.10,42.1,1080
