CompressiveStrength,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,Cement,TotalCost,CO2Emissions,EmbodiedEnergy,Density,WorkabilityIndex,DurabilityRating,WaterCementRatio
79.986115,0,0,162,2.5,1040,676,28,540,113.83,457.81,2672.62,2467.4,3.23,2,0.300
61.887367,0,0,162,2.5,1055,676,28,540,114.09,457.88,2673.82,2468.5,3.23,2,0.300
40.269535,142.5,0,228,0,932,594,270,332.5,84.35,290.44,1706.67,2325.4,5.11,2,0.511
41.052780,142.5,0,228,0,932,594,365,332.5,84.35,290.44,1706.67,2325.4,5.11,2,0.511
44.296074,132.4,0,192,0,978.4,825.5,360,198.6,70.73,182.68,1114.49,2371.0,6.31,3,0.631
47.029846,114,0,228,0,932,670,90,266,74.78,235.25,1399.82,2311.0,6.38,3,0.638
43.698300,95,0,228,0,932,594,365,380,87.63,327.02,1910.92,2328.6,5.00,2,0.500
36.447770,95,0,228,0,932,594,28,380,87.63,327.02,1910.92,2328.6,5.00,2,0.500
45.854290,114,0,228,0,932,670,28,266,74.78,235.25,1399.82,2311.0,6.38,3,0.638
39.289790,0,0,228,0,932,594,28,475,94.18,400.17,2319.42,2334.9,4.80,2,0.480
38.074245,132.4,0,192,0,978.4,825.5,90,198.6,70.73,182.68,1114.49,2371.0,6.31,3,0.631
28.021683,132.4,0,192,0,978.4,825.5,28,198.6,70.73,182.68,1114.49,2371.0,6.31,3,0.631
43.012960,47.5,0,228,0,932,594,270,427.5,90.91,363.59,2115.17,2331.7,4.90,2,0.490
42.326930,190,0,228,0,932,670,90,190,69.54,176.73,1073.02,2306.0,6.67,4,0.667
47.813780,76,0,228,0,932,670,28,304,77.40,264.51,1563.22,2313.5,6.25,3,0.625
52.908320,0,0,228,0,932,670,90,380,82.65,323.03,1890.02,2318.6,6.00,3,0.600
39.358047,209.4,0,192,0,1047,806.9,90,139.6,68.70,138.30,869.81,2375.6,6.25,3,0.625
56.141964,38,0,228,0,932,670,365,342,80.03,293.77,1726.62,2316.1,6.12,3,0.612
40.563250,95,0,228,0,932,594,90,380,87.63,327.02,1910.92,2328.6,5.00,2,0.500
42.620647,0,0,228,0,932,594,180,475,94.18,400.17,2319.42,2334.9,4.80,2,0.480
41.836716,47.5,0,228,0,932,594,180,427.5,90.91,363.59,2115.17,2331.7,4.90,2,0.490
28.237490,209.4,0,192,0,1047,806.9,28,139.6,68.70,138.30,869.81,2375.6,6.25,3,0.625
8.063422,209.4,0,192,0,1047,806.9,3,139.6,68.70,138.30,869.81,2375.6,6.25,3,0.625
44.207820,209.4,0,192,0,1047,806.9,180,139.6,68.70,138.30,869.81,2375.6,6.25,3,0.625
52.516697,0,0,228,0,932,670,365,380,82.65,323.03,1890.02,2318.6,6.00,3,0.600
53.300632,0,0,228,0,932,670,270,380,82.65,323.03,1890.02,2318.6,6.00,3,0.600
41.151375,95,0,228,0,932,594,270,380,87.63,327.02,1910.92,2328.6,5.00,2,0.500
52.124386,38,0,228,0,932,670,180,342,80.03,293.77,1726.62,2316.1,6.12,3,0.612
37.427517,47.5,0,228,0,932,594,28,427.5,90.91,363.59,2115.17,2331.7,4.90,2,0.490
38.603760,0,0,228,0,932,594,7,475,94.18,400.17,2319.42,2334.9,4.80,2,0.480
55.260124,76,0,228,0,932,670,365,304,77.40,264.51,1563.22,2313.5,6.25,3,0.625
52.908320,114,0,228,0,932,670,365,266,74.78,235.25,1399.82,2311.0,6.38,3,0.638
41.719500,132.4,0,192,0,978.4,825.5,180,198.6,70.73,182.68,1114.49,2371.0,6.31,3,0.631
42.131120,0,0,228,0,932,594,270,475,94.18,400.17,2319.42,2334.9,4.80,2,0.480
53.692253,190,0,228,0,932,670,365,190,69.54,176.73,1073.02,2306.0,6.67,4,0.667
38.407950,237.5,0,228,0,932,594,270,237.5,77.80,217.29,1298.17,2319.1,5.33,2,0.533
30.079770,237.5,0,228,0,932,594,28,237.5,77.80,217.29,1298.17,2319.1,5.33,2,0.533
37.721920,142.5,0,228,0,932,594,90,332.5,84.35,290.44,1706.67,2325.4,5.11,2,0.511
42.229027,0,0,228,0,932,594,90,475,94.18,400.17,2319.42,2334.9,4.80,2,0.480
36.251957,237.5,0,228,0,932,594,180,237.5,77.80,217.29,1298.17,2319.1,5.33,2,0.533
50.459300,38,0,228,0,932,670,90,342,80.03,293.77,1726.62,2316.1,6.12,3,0.612
43.698300,47.5,0,228,0,932,594,365,427.5,90.91,363.59,2115.17,2331.7,4.90,2,0.490
38.995384,237.5,0,228,0,932,594,365,237.5,77.80,217.29,1298.17,2319.1,5.33,2,0.533
53.104130,0,0,228,0,932,670,180,380,82.65,323.03,1890.02,2318.6,6.00,3,0.600
41.543000,47.5,0,228,0,932,594,90,427.5,90.91,363.59,2115.17,2331.7,4.90,2,0.490
35.076400,47.5,0,228,0,932,594,7,427.5,90.91,363.59,2115.17,2331.7,4.90,2,0.490
15.049192,0,0,192,0,1047,806.9,3,349,83.15,299.54,1770.23,2389.2,5.50,3,0.550
40.759064,95,0,228,0,932,594,180,380,87.63,327.02,1910.92,2328.6,5.00,2,0.500
26.258003,237.5,0,228,0,932,594,7,237.5,77.80,217.29,1298.17,2319.1,5.33,2,0.533
32.823193,95,0,228,0,932,594,7,380,87.63,327.02,1910.92,2328.6,5.00,2,0.500
39.779316,142.5,0,228,0,932,594,180,332.5,84.35,290.44,1706.67,2325.4,5.11,2,0.511
