Concrete Compressive Strength,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Cement
79.986115,0,0,162,2.5,1040,676,28,540
61.887367,0,0,162,2.5,1055,676,28,540
40.269535,142.5,0,228,0,932,594,270,332.5
41.05278,142.5,0,228,0,932,594,365,332.5
44.296074,132.4,0,192,0,978.4,825.5,360,198.6
47.029846,114,0,228,0,932,670,90,266
43.6983,95,0,228,0,932,594,365,380
36.44777,95,0,228,0,932,594,28,380
45.85429,114,0,228,0,932,670,28,266
39.28979,0,0,228,0,932,594,28,475
38.074245,132.4,0,192,0,978.4,825.5,90,198.6
28.021683,132.4,0,192,0,978.4,825.5,28,198.6
43.01296,47.5,0,228,0,932,594,270,427.5
42.32693,190,0,228,0,932,670,90,190
47.81378,76,0,228,0,932,670,28,304
52.90832,0,0,228,0,932,670,90,380
39.358047,209.4,0,192,0,1047,806.9,90,139.6
56.141964,38,0,228,0,932,670,365,342
40.56325,95,0,228,0,932,594,90,380
42.620647,0,0,228,0,932,594,180,475
41.836716,47.5,0,228,0,932,594,180,427.5
28.23749,209.4,0,192,0,1047,806.9,28,139.6
8.063422,209.4,0,192,0,1047,806.9,3,139.6
44.20782,209.4,0,192,0,1047,806.9,180,139.6
52.516697,0,0,228,0,932,670,365,380
53.300632,0,0,228,0,932,670,270,380
41.151375,95,0,228,0,932,594,270,380
52.124386,38,0,228,0,932,670,180,342
37.427517,47.5,0,228,0,932,594,28,427.5
38.60376,0,0,228,0,932,594,7,475
55.260124,76,0,228,0,932,670,365,304
52.90832,114,0,228,0,932,670,365,266
41.7195,132.4,0,192,0,978.4,825.5,180,198.6
42.13112,0,0,228,0,932,594,270,475
53.692253,190,0,228,0,932,670,365,190
38.40795,237.5,0,228,0,932,594,270,237.5
30.07977,237.5,0,228,0,932,594,28,237.5
37.72192,142.5,0,228,0,932,594,90,332.5
42.229027,0,0,228,0,932,594,90,475
36.251957,237.5,0,228,0,932,594,180,237.5
50.4593,38,0,228,0,932,670,90,342
43.6983,47.5,0,228,0,932,594,365,427.5
38.995384,237.5,0,228,0,932,594,365,237.5
53.10413,0,0,228,0,932,670,180,380
41.543,47.5,0,228,0,932,594,90,427.5
35.0764,47.5,0,228,0,932,594,7,427.5
15.049192,0,0,192,0,1047,806.9,3,349
40.759064,95,0,228,0,932,594,180,380
26.258003,237.5,0,228,0,932,594,7,237.5
32.823193,95,0,228,0,932,594,7,380
39.779316,142.5,0,228,0,932,594,180,332.5
46.931942,190,0,228,0,932,670,180,190
33.116913,237.5,0,228,0,932,594,90,237.5
49.18515,76,0,228,0,932,670,90,304
14.589313,209.4,0,192,0,1047,806.9,7,139.6
14.638265,132.4,0,192,0,978.4,825.5,7,198.6
41.93462,0,0,228,0,932,594,365,475
9.13142,132.4,0,192,0,978.4,825.5,3,198.6
50.94883,76,0,228,0,932,670,180,304
33.019005,142.5,0,228,0,932,594,28,332.5
54.378284,76,0,228,0,932,670,270,304
51.73276,114,0,228,0,932,670,270,266
9.866402,0,0,192,0,971,850.6,3,310
50.655113,190,0,228,0,932,670,270,190
48.69562,114,0,228,0,932,670,180,266
55.064312,38,0,228,0,932,670,270,342
44.69804,209.4,0,192,0,1047,806.9,360,139.6
30.275581,142.5,0,228,0,932,594,7,332.5
40.856968,190,0,228,0,932,670,28,190
71.98819,0,0,146,0,1120,800,28,485
34.397957,189.2,0,170.1,10.1,926.1,756.7,3,374
28.799412,262.2,0,175.5,8.6,1046.9,611.8,3,313.3
33.398216,106.3,0,153.5,16.5,852.1,887.1,3,425
36.30091,106.3,0,151.4,18.6,936,803.7,3,425
28.999361,93.8,0,126.6,23.4,852.1,992.6,3,375
37.797073,118.8,0,181.1,8.9,852.1,781.5,3,475
