Test acc,Training acc,Test time,Training time,Epochs,Training size,Batchsize,Learning rate,Momentum,EpochLrDecrease,Backprop prob,Seed,Hidden Units1
8,9.855769,0.0008592,0.0444848,2,416,21,0.20120277,0.3592618,0.2640888,0.76501864,96883,38
8,8.616779,0.0003919,0.0114388,3,441,66,0.9864121,0.6815405,0.9907013,0.44081935,64518,44
8,7.920792,0.0005737,0.0101376,4,303,62,0.37105188,0.39880618,0.082593724,0.13624963,86070,35
8,6.4864864,0.0003221,0.0039,5,185,136,0.5837812,0.044165716,0.8509596,0.22920604,57037,25
15.000001,11.4832535,0.000442,0.0010247,1,209,170,0.91593546,0.6978628,0.3441187,0.63393617,43397,42
8,11.210762,0.0003886,0.0052577,3,223,105,0.88069975,0.03491842,0.7116349,0.4829349,35882,44
8,0,0.0006386,1.86E-05,5,105,131,0.68302095,0.35059485,0.20075098,0.7232,19366,32
9,10.606061,0.0003461,0.0061736,4,198,94,0.8019221,0.9762595,0.84010476,0.5780874,3601,30
24,12.692308,0.0010342,0.0038836,2,260,149,0.87759703,0.49646363,0.13614611,0.7290229,46604,49
8,9.589041,0.0004872,0.0235673,4,438,33,0.59989846,0.46257484,0.11116103,0.6952536,33926,37
12,9.289618,0.0004089,0.0039338,2,366,97,0.05261735,0.7849759,0.98521405,0.35456958,93416,41
10,11.585366,0.0003322,0.0011925,2,164,85,0.4543786,0.38680404,0.89383703,0.76952106,50649,47
13,25.615765,0.0004558,0.0029517,2,203,158,0.097508505,0.9031486,0.20677072,0.9442361,61737,39
15.000001,14.730878,0.0004836,0.0130417,5,353,145,0.53841597,0.98151106,0.019791136,0.2862727,67303,37
11,8.872902,0.0002855,0.003034,2,417,148,0.067956075,0.94950414,0.97855103,0.83493304,71531,28
2,14.285715,0.0002782,0.0015605,2,385,196,0.04074888,0.8782521,0.39717105,0.08443071,34746,29
11,4.0339704,0.000719,0.0025024,1,471,158,0.6387863,0.030480398,0.0023123967,0.23231252,80799,35
8,10.4838705,0.0005812,0.0089591,3,248,112,0.28403598,0.47562557,0.35420984,0.71088386,39398,34
14,4.973822,0.0003001,0.0028989,2,382,132,0.7556895,0.36998266,0.462622,0.2488094,116,25
22,18.141594,0.0008846,0.011993,4,226,190,0.89263624,0.13630222,0.5407062,0.8240238,97342,48
8,5.4755044,0.0003229,0.0045213,4,347,199,0.5684347,0.34800625,0.64425784,0.7388111,72112,23
17,11.255411,0.0006679,0.0043112,2,231,95,0.67223984,0.6667368,0.72903323,0.2588153,70219,33
8,8.86918,0.0005893,0.0152515,3,451,71,0.66029376,0.7064382,0.6650257,0.87412256,63336,33
8,9.170305,0.0003566,0.0053282,3,229,49,0.3331804,0.5054731,0.14952792,0.71834475,33618,21
8,8.838384,0.0003742,0.0090898,3,396,89,0.716322,0.30517653,0.9576495,0.39955884,74348,42
8,8.284023,0.0003155,0.0096472,5,338,88,0.56775737,0.55601335,0.91164994,0.8229946,14965,29
8,10.8013935,0.0003826,0.0092183,4,287,92,0.7971972,0.262938,0.054629307,0.5899703,61744,43
8,10.344828,0.0009257,0.0167316,3,290,23,0.91617745,0.023159267,0.7020382,0.47953612,74866,48
