Test acc,Training acc,Test time,Training time,Epochs,Training size,Batchsize,Learning rate,Momentum,EpochLrDecrease,Backprop prob,Seed,Hidden Units1
88,96.53525,0.0007018,0.1638796,10,837,19,0.0050472585,0.31160343,0.8180815,0.9467208,24392,30
81,87.9562,0.000844,0.0627335,6,548,25,0.0030569546,0.37257215,0.80638564,0.90290236,98110,48
90,96.16183,0.0002801,0.1090119,8,964,21,0.006083222,0.46196124,0.8431332,0.9402815,94078,48
90,97.441605,0.000212,0.0475401,9,899,20,0.006868089,0.52174497,0.857999,0.91951835,7683,47
82,98.799995,0.0002119,0.0416688,9,500,10,0.004580854,0.5397735,0.8162311,0.9200333,23594,46
84,96.03624,0.0003484,0.0695126,9,883,17,0.00649643,0.30253792,0.8209888,0.994764,32045,50
86,95.6,0.0002199,0.0621789,7,1000,11,0.0044161975,0.5585458,0.86907935,0.8749362,56025,31
83,98.23875,0.0002428,0.0432592,10,511,12,0.006895189,0.51183677,0.8005773,0.83578223,37853,35
88,96.321526,0.0002194,0.0366607,8,734,25,0.0067270664,0.3572408,0.82061,0.9633818,79316,40
87,98.55492,0.0002084,0.0366797,10,692,30,0.005359392,0.30897287,0.8851668,0.8923527,13611,43
86,97.402596,0.0002322,0.035041,7,539,10,0.006912538,0.4508603,0.8428729,0.9213953,94252,36
88,97.39819,0.0001909,0.049092,9,884,19,0.0046808114,0.5509984,0.86249304,0.9480442,29316,43
86,90.78499,0.0002622,0.0360184,6,879,26,0.0036951273,0.3198828,0.8046777,0.80657077,55900,49
80,96.84685,0.0002386,0.0634143,8,888,11,0.0054410216,0.5255747,0.8429902,0.8019804,85,35
86,94.600204,0.0002448,0.0527121,10,963,30,0.0033522013,0.33901384,0.8430376,0.8451138,21035,34
87,98.24561,0.0001955,0.0571018,9,741,12,0.0067603067,0.42920983,0.88689715,0.91833025,11107,34
89,97.631134,5.75E-05,0.0220197,6,591,10,0.0068097347,0.32090575,0.8668672,0.873849,92065,40
85,95.811516,5.77E-05,0.0154857,8,764,22,0.006508235,0.41740856,0.81833977,0.95595413,20060,33
90,97.9798,5.99E-05,0.0194518,10,792,16,0.005963955,0.38232774,0.86806947,0.94722587,44080,39
89,96.1962,5.03E-05,0.0159236,7,999,20,0.0068959333,0.4842515,0.8227338,0.8037736,1127,34
90,96.68711,5.05E-05,0.0173694,9,815,18,0.005392085,0.31573218,0.8524572,0.94492954,28936,48
89,97.368416,5.33E-05,0.0190818,9,874,12,0.0061166557,0.55039763,0.8071911,0.9661978,22754,41
89,95.48872,4.77E-05,0.0106582,8,931,29,0.0045516635,0.40115604,0.83531743,0.98239625,27614,32
86,97.75148,6.36E-05,0.014559,9,845,18,0.0068269065,0.5622619,0.8299437,0.84305286,30430,48
85,94.51901,4.77E-05,0.0109217,9,894,29,0.0041491874,0.45410332,0.8413469,0.926577,77507,34
85,98.39572,5.65E-05,0.011729,10,561,15,0.0063052964,0.44160563,0.8096548,0.98452836,80302,43
84,93.39975,5.69E-05,0.0107626,7,803,15,0.0033831184,0.35089236,0.8195416,0.9172148,27352,41
87,96.20959,5.27E-05,0.0119578,9,897,24,0.0032950449,0.5453043,0.8379412,0.8914218,95485,39
87,95.522385,5.42E-05,0.0105704,8,804,17,0.0032465705,0.590936,0.8578809,0.9889031,25710,30
86,94.96403,5.52E-05,0.0079609,9,695,30,0.003904037,0.33739895,0.8571264,0.8489666,50733,30
88,97.35099,6.38E-05,0.0077179,8,604,25,0.0054563726,0.45944232,0.84312886,0.8569489,29066,44
90,95.723274,5.02E-05,0.0096723,10,795,30,0.0048841047,0.38182867,0.83629894,0.8508264,1534,37
84,99.23372,5.92E-05,0.0050052,6,522,29,0.006515239,0.59706753,0.89307237,0.8328571,64669,44
87,92.68293,4.59E-05,0.0049149,7,574,29,0.005692418,0.35728893,0.82133484,0.8667068,41603,34
88,98.49521,6.58E-05,0.0105869,9,731,17,0.006366955,0.37543923,0.8145636,0.93577486,32237,35
82,95.13619,6.83E-05,0.0079565,9,514,17,0.0032252779,0.5627357,0.8023987,0.8422639,65239,31
90,93.88889,6.97E-05,0.0076019,9,540,26,0.0051008034,0.391422,0.80609,0.82099354,22187,44
