Error,Experiments,Learning Rate,LR Decay,Tolerance,Gradient,Hyperparameters
3.8902857E-24,265,0.75238746,0.99409616,1.4697483E-12,0.118416004,10
3.892353E-24,265,0.7524191,0.9940976,1.4695571E-12,0.11819945,10
3.8926657E-24,265,0.75233585,0.9940973,1.4704112E-12,0.11867134,10
3.8908553E-24,265,0.7523608,0.994096,1.4700459E-12,0.11868303,10
3.890069E-24,265,0.7523685,0.99409896,1.4693132E-12,0.11859919,10
3.8878615E-24,265,0.75236523,0.9940956,1.4695461E-12,0.11865104,10
3.8903228E-24,265,0.7523564,0.99409705,1.469726E-12,0.11836863,10
3.8886492E-24,265,0.7523164,0.9940968,1.4696377E-12,0.11872453,10
3.8927434E-24,265,0.7523587,0.9940993,1.4694825E-12,0.118607,10
3.926588E-24,263,0.7523286,0.9940966,1.4695205E-12,0.11838201,10
3.949964E-24,267,0.75241333,0.99409956,1.4680962E-12,0.118153624,10
3.924008E-24,266,0.75238717,0.9940963,1.4688445E-12,0.11835714,10
3.9258132E-24,263,0.7524093,0.99409896,1.4687171E-12,0.118767835,10
3.892176E-24,265,0.75239974,0.9940967,1.4699412E-12,0.11825624,10
3.928855E-24,266,0.7523938,0.9940997,1.4693505E-12,0.11896718,10
3.948036E-24,267,0.7523719,0.9940999,1.4678009E-12,0.11815777,10
3.9351336E-24,262,0.7523494,0.9940982,1.469331E-12,0.11881239,10
3.932835E-24,263,0.75233674,0.99409735,1.4706803E-12,0.1188828,10
3.9222815E-24,262,0.7523254,0.9940975,1.4673669E-12,0.11829155,10
3.911493E-24,264,0.7524081,0.99409705,1.4699557E-12,0.11851625,10
3.8893257E-24,265,0.75236714,0.9940996,1.4690459E-12,0.11893049,10
3.9418078E-24,262,0.75239646,0.9940982,1.4705469E-12,0.11841238,10
3.922911E-24,263,0.75228816,0.9941002,1.4684238E-12,0.118570454,10
3.9339535E-24,263,0.7523602,0.9941002,1.4701724E-12,0.11823344,10
3.9113877E-24,264,0.75234896,0.9940968,1.4701999E-12,0.11908393,10
3.8902956E-24,265,0.7523367,0.99409854,1.4692839E-12,0.118260644,10
3.956156E-24,267,0.75243765,0.9940989,1.469214E-12,0.118388265,10
3.910283E-24,264,0.75235075,0.9941005,1.4691034E-12,0.1181667,10
3.915206E-24,264,0.7523696,0.9941002,1.4696487E-12,0.118512176,10
3.9543077E-24,267,0.75243104,0.99409574,1.4690198E-12,0.118657105,10
3.9323024E-24,262,0.7523873,0.99409866,1.4686475E-12,0.11827623,10
3.9479E-24,267,0.75233686,0.9940992,1.4679388E-12,0.11846706,10
