Error,Experiments,Learning Rate,LR Decay,Tolerance,Gradient,Hyperparameters
3.654204E-24,268,0.7515446,0.9941178,1.4204597E-12,0.114897095,10
3.6673426E-24,264,0.75172496,0.99410844,1.4203269E-12,0.111680694,10
3.6621775E-24,268,0.75158054,0.99412185,1.4208881E-12,0.11196613,10
3.6605244E-24,262,0.75136787,0.9941147,1.4171383E-12,0.11847648,10
3.6621223E-24,268,0.75138074,0.9941245,1.4212722E-12,0.113579206,10
3.658755E-24,268,0.7517547,0.9941231,1.420181E-12,0.11955269,10
3.649929E-24,265,0.7513293,0.9941288,1.4197556E-12,0.11989939,10
3.641894E-24,268,0.7517477,0.9941088,1.4178925E-12,0.11010986,10
3.635277E-24,265,0.75167054,0.99412054,1.4174904E-12,0.11795197,10
3.659165E-24,265,0.75174415,0.99411887,1.4226667E-12,0.1186217,10
3.6562196E-24,263,0.7518735,0.99410826,1.4181515E-12,0.1195609,10
3.6425613E-24,264,0.75167084,0.99411494,1.4180163E-12,0.120300286,10
3.651291E-24,265,0.75146925,0.99412197,1.4205551E-12,0.11764656,10
3.6254986E-24,265,0.7516537,0.9941109,1.417176E-12,0.11538748,10
3.6410404E-24,268,0.7516325,0.9941185,1.4174836E-12,0.114184074,10
3.647998E-24,265,0.7516668,0.9941175,1.4200845E-12,0.11695694,10
3.6248052E-24,265,0.7518079,0.9941098,1.4173105E-12,0.11640203,10
3.664667E-24,268,0.7513501,0.99412733,1.4219043E-12,0.11676814,10
3.6564255E-24,265,0.75153095,0.99412394,1.4215533E-12,0.11931819,10
3.66637E-24,264,0.7515554,0.9941162,1.4190019E-12,0.112389565,10
3.644429E-24,268,0.7518142,0.9941198,1.4175529E-12,0.11245623,10
3.662212E-24,264,0.75159097,0.9941113,1.4189968E-12,0.11191151,10
3.653064E-24,268,0.7515976,0.9941247,1.4195083E-12,0.11508489,10
3.6489873E-24,261,0.75158006,0.99411356,1.4149824E-12,0.11995652,10
3.651449E-24,264,0.7513646,0.9941198,1.4192719E-12,0.12048757,10
3.655238E-24,266,0.75187,0.99412215,1.4152673E-12,0.120010145,10
3.648717E-24,266,0.7518158,0.9941066,1.4168063E-12,0.118487544,10
3.6498346E-24,265,0.75147957,0.9941218,1.4172209E-12,0.11199741,10
3.632714E-24,265,0.75192267,0.99411434,1.4186244E-12,0.11891152,10
3.652212E-24,266,0.7517188,0.99412215,1.4150444E-12,0.120635845,10
3.6529553E-24,265,0.75177926,0.9941224,1.4165045E-12,0.11112316,10
3.650373E-24,265,0.7515781,0.9941137,1.4204194E-12,0.11367723,10
3.6608782E-24,263,0.7516204,0.9941169,1.4167635E-12,0.11694658,10
3.62832E-24,265,0.7517426,0.99411714,1.4171852E-12,0.11822691,10
3.6493652E-24,265,0.75194484,0.9941143,1.4192831E-12,0.11362486,10
3.663998E-24,265,0.75167185,0.9941198,1.42005E-12,0.11222914,10
3.654672E-24,263,0.75160784,0.9941219,1.4154924E-12,0.1182984,10
3.6285618E-24,264,0.7517588,0.9941109,1.416135E-12,0.12048829,10
3.6625285E-24,263,0.75189424,0.9941149,1.4150818E-12,0.11294074,10
3.6492548E-24,265,0.7514411,0.9941231,1.4185217E-12,0.11496267,10
3.638743E-24,264,0.75153863,0.99411297,1.4173657E-12,0.11861624,10
3.643256E-24,265,0.7517245,0.9941225,1.419918E-12,0.12193236,10
3.6483397E-24,265,0.7514152,0.99412423,1.4182815E-12,0.11548318,10
3.6677634E-24,266,0.75194055,0.9941224,1.4165674E-12,0.11795418,10
3.643533E-24,264,0.75167865,0.994118,1.4171033E-12,0.11903645,10
3.631983E-24,265,0.7516464,0.9941175,1.4191388E-12,0.12184297,10
3.6374246E-24,265,0.7518407,0.9941134,1.4204069E-12,0.12064139,10
3.6319645E-24,265,0.75193304,0.99411577,1.418101E-12,0.119037755,10
3.6327483E-24,265,0.75144166,0.9941238,1.415896E-12,0.11649858,10
3.663281E-24,262,0.7519798,0.9941057,1.4162718E-12,0.11345662,10
3.6628378E-24,261,0.7520507,0.9941056,1.4162169E-12,0.11376453,10
3.6433348E-24,268,0.75201577,0.99410915,1.417831E-12,0.11373854,10
3.640614E-24,264,0.7514812,0.9941207,1.4153729E-12,0.116928175,10
3.6368562E-24,268,0.7516344,0.99412,1.4160641E-12,0.11983958,10
3.6466582E-24,268,0.7517044,0.9941202,1.4182823E-12,0.113277934,10
3.63423E-24,268,0.7515474,0.99411565,1.4164271E-12,0.116577566,10
3.66606E-24,261,0.7518115,0.9941188,1.4153881E-12,0.116951905,10
3.6679295E-24,262,0.7519433,0.9941215,1.4156611E-12,0.11680873,10
3.6435387E-24,264,0.751812,0.99411327,1.416974E-12,0.11742716,10
3.6461786E-24,268,0.7517207,0.99411976,1.418342E-12,0.11448306,10
3.6592595E-24,262,0.75153315,0.99411345,1.4156533E-12,0.1158791,10
3.6319468E-24,268,0.7519381,0.9941079,1.4161001E-12,0.1137093,10
3.6613125E-24,261,0.75186944,0.99410534,1.4169752E-12,0.11606658,10
3.649797E-24,266,0.7515807,0.9941149,1.4151541E-12,0.116977714,10
3.661326E-24,261,0.7516651,0.99411225,1.4166633E-12,0.117318355,10
3.652087E-24,264,0.7515823,0.994115,1.4177726E-12,0.11475618,10
3.6047626E-24,265,0.75154626,0.99411166,1.4156546E-12,0.12137586,10
3.6676124E-24,261,0.75149125,0.9941154,1.4164491E-12,0.115353644,10
3.6491818E-24,263,0.7519152,0.99410564,1.4173111E-12,0.11887237,10
3.661982E-24,261,0.7515566,0.9941143,1.4172506E-12,0.120360434,10
3.6536002E-24,261,0.7518662,0.9941122,1.4153647E-12,0.119321726,10
3.638558E-24,264,0.7517818,0.9941142,1.4151588E-12,0.11539182,10
3.6055176E-24,265,0.7514559,0.9941135,1.4156447E-12,0.12167894,10
3.6499525E-24,261,0.75192845,0.99410427,1.4152002E-12,0.11629397,10
3.6323913E-24,268,0.75187105,0.99410766,1.4153827E-12,0.11719384,10
3.6602306E-24,266,0.7515422,0.994115,1.4169525E-12,0.11623115,10
3.6664653E-24,266,0.7519782,0.99411345,1.4175501E-12,0.116405636,10
