income, sex, age, michigan, nebraska, oklahoma, conservative, moderate, liberal
0.295,1,0.24,1,0,0,0,0,1
0.512,-1,0.39,0,0,1,0,1,0
0.758,1,0.63,0,1,0,1,0,0
0.445,-1,0.36,1,0,0,0,1,0
0.286,1,0.27,0,1,0,0,0,1
0.565,1,0.5,0,1,0,0,1,0
0.55,1,0.5,0,0,1,0,1,0
0.327,-1,0.19,0,0,1,1,0,0
0.277,1,0.22,0,1,0,0,1,0
0.471,-1,0.39,0,0,1,0,0,1
0.394,1,0.34,1,0,0,0,1,0
0.335,-1,0.22,1,0,0,1,0,0
0.352,1,0.35,0,0,1,0,0,1
0.464,-1,0.33,0,1,0,0,1,0
0.541,1,0.45,0,1,0,0,1,0
0.507,1,0.42,0,1,0,0,1,0
0.468,-1,0.33,0,1,0,0,1,0
0.3,1,0.25,0,0,1,0,1,0
0.464,-1,0.31,0,1,0,1,0,0
0.325,1,0.27,1,0,0,0,0,1
0.54,1,0.48,1,0,0,0,1,0
0.713,-1,0.64,0,1,0,0,0,1
0.724,1,0.61,0,1,0,1,0,0
0.61,1,0.54,0,0,1,1,0,0
0.363,1,0.29,1,0,0,1,0,0
0.55,1,0.5,0,0,1,0,1,0
0.625,1,0.55,0,0,1,1,0,0
0.524,1,0.4,1,0,0,1,0,0
0.236,1,0.22,1,0,0,0,0,1
0.784,1,0.68,0,1,0,1,0,0
0.717,-1,0.6,1,0,0,0,0,1
0.465,-1,0.34,0,0,1,0,1,0
0.371,-1,0.25,0,0,1,1,0,0
0.489,-1,0.31,0,1,0,0,1,0
0.48,1,0.43,0,0,1,0,1,0
0.654,1,0.58,0,1,0,0,0,1
0.607,-1,0.55,0,1,0,0,0,1
0.511,-1,0.43,0,1,0,0,1,0
0.532,-1,0.43,0,0,1,0,1,0
0.372,-1,0.21,1,0,0,1,0,0
0.646,1,0.55,0,0,1,1,0,0
0.748,1,0.64,0,1,0,1,0,0
0.588,-1,0.41,1,0,0,0,1,0
0.727,1,0.64,0,0,1,1,0,0
0.666,-1,0.56,0,0,1,0,0,1
0.36,1,0.31,0,0,1,0,1,0
0.701,-1,0.65,0,0,1,0,0,1
0.643,1,0.55,0,0,1,1,0,0
0.403,-1,0.25,1,0,0,1,0,0
0.51,1,0.46,0,0,1,0,1,0
0.535,-1,0.36,1,0,0,1,0,0
0.581,1,0.52,0,1,0,0,1,0
0.679,1,0.61,0,0,1,1,0,0
0.657,1,0.57,0,0,1,1,0,0
0.526,-1,0.46,0,1,0,0,1,0
0.668,-1,0.62,1,0,0,0,0,1
0.627,1,0.55,0,0,1,1,0,0
0.277,-1,0.22,0,0,1,0,1,0
0.629,-1,0.5,1,0,0,1,0,0
0.418,-1,0.32,0,1,0,0,1,0
0.356,-1,0.21,0,0,1,1,0,0
0.52,1,0.44,0,1,0,0,1,0
0.517,1,0.46,0,1,0,0,1,0
0.697,1,0.62,0,1,0,1,0,0
0.664,1,0.57,0,1,0,1,0,0
0.758,-1,0.67,0,0,1,0,0,1
0.343,1,0.29,1,0,0,0,0,1
0.601,1,0.53,1,0,0,1,0,0
0.548,-1,0.44,1,0,0,0,1,0
0.523,1,0.46,0,1,0,0,1,0
0.301,-1,0.2,0,1,0,0,1,0
0.535,-1,0.38,1,0,0,0,1,0
0.586,1,0.5,0,1,0,0,1,0
0.425,1,0.33,0,1,0,0,1,0
0.393,-1,0.33,0,1,0,0,1,0
0.404,1,0.26,0,1,0,1,0,0
0.707,1,0.58,1,0,0,1,0,0
0.48,1,0.43,0,0,1,0,1,0
0.644,-1,0.46,1,0,0,1,0,0
0.717,1,0.6,1,0,0,1,0,0
0.489,-1,0.42,1,0,0,0,1,0
0.564,-1,0.56,0,0,1,0,0,1
0.663,-1,0.62,0,1,0,0,0,1
0.648,-1,0.5,1,0,0,0,1,0
0.52,1,0.47,0,0,1,0,1,0
0.804,-1,0.67,0,1,0,0,0,1
0.504,-1,0.4,0,0,1,0,1,0
0.484,1,0.42,0,1,0,0,1,0
0.72,1,0.64,1,0,0,1,0,0
0.587,-1,0.47,1,0,0,0,0,1
0.528,1,0.45,0,1,0,0,1,0
0.409,-1,0.25,0,0,1,1,0,0
0.484,1,0.38,1,0,0,1,0,0
0.6,1,0.55,0,0,1,0,1,0
0.606,-1,0.44,1,0,0,0,1,0
0.41,1,0.33,1,0,0,0,1,0
0.39,1,0.34,0,0,1,0,1,0
0.337,1,0.27,0,1,0,0,0,1
0.407,1,0.32,0,1,0,0,1,0
0.47,1,0.42,0,0,1,0,1,0
0.403,-1,0.24,0,0,1,1,0,0
0.503,1,0.42,0,1,0,0,1,0
0.28,1,0.25,0,0,1,0,0,1
0.58,1,0.51,0,1,0,0,1,0
0.635,-1,0.55,0,1,0,0,0,1
0.478,1,0.44,1,0,0,0,0,1
0.398,-1,0.18,1,0,0,1,0,0
0.716,-1,0.67,0,1,0,0,0,1
0.5,1,0.45,0,0,1,0,1,0
0.558,1,0.48,1,0,0,0,1,0
0.39,-1,0.25,0,1,0,0,1,0
0.783,-1,0.67,1,0,0,0,1,0
0.42,1,0.37,0,0,1,0,1,0
0.427,-1,0.32,1,0,0,0,1,0
0.57,1,0.48,1,0,0,0,1,0
0.75,-1,0.66,0,0,1,0,0,1
0.7,1,0.61,1,0,0,1,0,0
0.689,-1,0.58,0,0,1,0,1,0
0.24,1,0.19,1,0,0,0,0,1
0.43,1,0.38,0,0,1,0,1,0
0.364,-1,0.27,1,0,0,0,1,0
0.48,1,0.42,1,0,0,0,1,0
0.713,1,0.6,1,0,0,1,0,0
0.348,-1,0.27,0,0,1,1,0,0
0.371,1,0.29,0,1,0,1,0,0
0.567,-1,0.43,1,0,0,0,1,0
0.567,1,0.48,1,0,0,0,1,0
0.294,1,0.27,0,0,1,0,0,1
