label, feature1, feature2, feature3, feature4, feature5
0.484,-0.166,0.4406,-0.9998,-0.3953,-0.7065
0.1568,0.0776,-0.1616,0.3704,-0.5911,0.7562
0.8054,-0.9452,0.3409,-0.1654,0.1174,-0.7192
0.1345,0.9365,-0.3732,0.3846,0.7528,0.7892
0.7955,-0.8299,-0.9219,-0.6603,0.7563,-0.8033
0.3206,0.0663,0.3838,-0.369,0.373,0.6693
0.7377,-0.9634,0.5003,0.9777,0.4963,-0.4391
0.4801,-0.1042,0.8172,-0.4128,-0.4244,-0.7399
0.6861,-0.9613,0.3577,-0.5767,-0.4689,-0.0169
0.5569,-0.7065,0.1786,0.3995,-0.7953,-0.1719
0.25,0.3888,-0.1716,-0.9001,0.0718,0.3276
0.3297,0.1731,0.8068,-0.7251,-0.7214,0.6148
0.2129,-0.2046,-0.6693,0.855,-0.3045,0.5016
0.2613,0.2473,0.5019,-0.3022,-0.4601,0.7918
0.5171,-0.1438,0.9297,0.3269,0.2434,-0.7705
0.3307,0.1568,-0.1837,-0.5259,0.8068,0.1474
0.5581,-0.9943,0.2343,-0.3467,0.0541,0.7719
0.1092,0.2467,-0.9684,0.8589,0.3818,0.9946
0.7018,-0.6553,-0.7257,0.8652,0.3936,-0.868
0.1996,0.846,0.423,-0.7515,-0.9602,-0.9476
0.5664,-0.9434,-0.5076,0.7201,0.0777,0.1056
0.1533,0.9392,0.1221,-0.9627,0.6013,-0.5341
0.1661,0.6142,-0.2243,0.7271,0.4942,0.1125
0.223,0.426,0.1194,-0.9749,-0.8561,0.9346
0.381,0.1362,-0.5934,-0.4953,0.4877,-0.6091
0.146,0.6937,-0.5203,-0.0125,0.2399,0.658
0.5387,-0.6864,-0.9628,-0.86,-0.0273,0.2127
0.1611,0.9772,0.1595,-0.2397,0.1019,0.4907
0.227,0.3385,-0.4702,-0.8673,-0.2598,0.2594
0.47,-0.8669,-0.4794,0.6095,-0.6131,0.2789
0.3516,0.0493,0.8496,-0.4734,-0.8681,0.4701
0.1412,0.8639,-0.9721,-0.5313,0.2336,0.898
0.1782,0.9004,0.1133,0.8312,0.2831,-0.22
0.215,0.0991,0.8524,0.8375,-0.2102,0.9265
0.7422,-0.6521,-0.7473,-0.7298,0.0113,-0.957
0.1056,0.619,-0.3105,0.8802,0.164,0.7577
0.2214,0.6895,0.8108,-0.0802,0.0927,0.5972
0.131,0.1982,-0.9689,0.187,-0.1326,0.6147
0.3773,-0.3695,0.7858,0.1557,-0.632,0.5759
0.2071,-0.1596,0.3581,0.8372,-0.9992,0.9535
0.4132,-0.2468,0.9476,0.2094,0.6577,0.1494
0.2611,0.1737,0.5,0.7166,0.5102,0.3961
0.1332,0.729,-0.3546,0.3416,-0.0983,-0.2358
0.417,-0.3652,0.2438,-0.1395,0.9476,0.3556
0.4334,-0.6029,-0.1466,-0.3133,0.5953,0.76
0.2775,-0.4596,-0.4953,0.7098,0.0554,0.6043
0.2931,0.145,0.4663,0.038,0.5418,0.1377
0.7429,-0.8636,-0.2442,-0.8407,0.9656,-0.6368
0.2185,0.6237,0.7499,0.3768,0.139,-0.6781
0.4399,-0.5499,0.185,-0.3755,0.8326,0.8193
0.4197,-0.4858,-0.7782,-0.6141,-0.0008,0.4572
0.1776,0.7033,-0.1683,0.2334,-0.5327,-0.7961
0.3345,0.0317,-0.0457,-0.6947,0.2436,0.088
0.3107,0.5031,-0.5559,0.0387,0.5706,-0.9553
0.317,-0.3513,0.7458,0.6894,0.0769,0.7332
0.3532,0.2205,0.5992,-0.9309,0.5405,0.4635
0.3202,-0.4806,-0.4859,0.2646,-0.3094,0.5932
0.16,0.9809,-0.3995,-0.714,0.8026,0.0831
0.1289,0.9495,0.2732,0.9878,0.0921,0.0529
0.5966,-0.9476,-0.6792,0.4913,-0.9392,-0.2669
0.155,0.7247,0.3854,0.3819,-0.6227,-0.1162
