label, variance, skewness, kurtosis, entropy
1,-0.17755,0.094775,0.009325,-0.122045
1,-0.200865,-0.415615,0.622735,-0.071875
1,-0.25595,0.33243,-0.002499,-0.32603
1,-0.27207,0.361815,0.005469,-0.37821
1,-0.087945,-0.32312,0.423865,0.015991
1,-0.1143,-0.27242,0.290195,0.044116
1,-0.034539,-0.025039,-0.017709,0.023749
1,-0.020429,0.154885,-0.148035,-0.13446
1,0.07905,0.043455,-0.11569,0.041206
1,-0.16791,-0.36202,0.572095,-0.028557
1,-0.091935,-0.31505,0.28253,0.009784
1,-0.218865,-0.275835,0.54695,-0.02041
1,-0.188735,0.12581,0.041671,-0.015497
1,-0.09038,-0.440655,0.43543,-0.010841
1,-0.252385,-0.290115,0.5622,-0.019505
1,-0.014929,0.123845,-0.14756,-0.033083
1,0.072505,0.180335,-0.202785,-0.07983
1,-0.048663,-0.32084,0.28013,0.051615
1,-0.1753,-0.628335,0.75803,-0.037608
1,-0.13203,-0.220795,0.29915,-0.006962
1,-0.187515,-0.67293,0.87966,-0.138855
1,-0.13514,0.081635,0.041799,-0.00457
1,-0.233825,-0.28318,0.54845,-0.016725
1,-0.14495,-0.030212,0.130225,0.06888
1,-0.12825,-0.289495,0.30061,0.002348
1,-0.22885,0.172575,0.03336,-0.047371
1,0.011216,-0.026074,-0.020193,0.060085
1,-0.274505,0.45524,-0.019379,-0.298815
1,-0.03494,-0.168855,0.206055,0.075215
1,-0.027678,-0.396165,0.33578,0.037197
1,-0.15683,0.021106,0.131125,-0.003212
1,-0.144165,0.088565,0.034473,-0.02319
1,-0.06212,-0.085875,-0.026277,-0.010518
1,-0.13143,0.009001,0.08978,0.048641
1,0.015902,-0.049663,0.054735,0.04431
1,0.0259,0.012933,-0.042043,0.048059
1,-0.1759,0.143815,0.00774,-0.06043
1,-0.091955,-0.454415,0.46208,-0.005216
1,0.001511,-0.05256,0.07012,0.038685
1,-0.141335,-0.452035,0.45347,-0.049117
1,0.119585,0.227825,-0.24944,-0.144935
