label, variance, skewness, kurtosis, entropy,F1+F2+F3,F1*F2*F3,F5+F5+F5+F6
1,-0.091095,-0.34412,0.273405,0.002866,1.097564,0.04496719,0.5333775
1,-0.069435,-0.243865,0.32387,0.01709,1.2473109,0.0687699,1.1912514
1,-0.166015,-0.001346,0.14809,-0.022479,1.1380631,0.049050745,0.6967803
1,0.012131,0.028659,-0.09701,0.022004,1.2062848,0.04064735,0.8777716
1,0.041813,0.055355,-0.12353,-0.003147,1.2462244,0.03836783,1.0000161
1,0.045658,0.166885,-0.202785,-0.083705,1.2669524,0.019468755,0.95418197
1,0.01717,0.006208,-0.014367,0.007327,1.2679533,0.059640124,1.2053846
1,-0.09983,-0.475005,0.4841,-0.006445,1.1685431,0.037512064,0.7296285
1,-0.14549,-0.50356,0.42078,-0.09974,1.0267642,0.024364535,0.16467127
1,0.025407,0.0239,-0.09902,0.028857,1.2201393,0.041346587,0.92936707
1,-0.118375,-0.021832,0.0846,-0.021509,1.1367414,0.050569583,0.7016383
1,-0.029794,0.124055,-0.143365,-0.044914,1.1772707,0.029460348,0.7097488
1,-0.258305,0.402165,0.002213,-0.224915,1.181248,0.025359433,0.6980269
1,-0.08088,0.05463,-0.017751,-0.029979,1.1598594,0.046222582,0.7537216
1,-0.113125,-0.004967,0.140635,0.024331,1.2052126,0.061527226,1.0029048
1,-0.07539,-0.365955,0.394905,0.061445,1.2085549,0.05474098,0.9724519
1,-0.20393,0.146195,0.043513,-0.032695,1.1036941,0.035410695,0.49535143
1,-0.07047,-0.10626,-0.005199,-0.009613,1.0652826,0.039521992,0.38962102
1,-0.08122,-0.31722,0.232875,0.008491,1.0970185,0.04651988,0.54109323
1,0.078155,0.0448,-0.09851,0.032736,1.3122972,0.048655614,1.2889656
1,0.06286,0.243655,-0.264305,-0.293705,1.2962112,0,0.9339479
1,-0.129495,-0.019555,0.046726,0.021486,1.0897763,0.04308207,0.49517196
1,-0.044771,0.101395,-0.11826,-0.06373,1.1603413,0.032976843,0.67366314
1,-0.031022,0.027935,-0.019294,-0.033212,1.2104616,0.052424073,0.964668
1,-0.15433,-0.33181,0.527025,-0.044591,1.2340845,0.051935676,1.0422751
1,-0.30816,0.43548,-0.010811,-0.181725,1.1230538,0.011645352,0.41483137
1,-0.08532,0.16544,-0.114145,-0.10989,1.1533327,0.031818442,0.64259917
1,-0.121745,-0.462485,0.44961,-0.025001,1.1165895,0.03458962,0.5342962
1,-0.038397,0.17299,-0.172025,-0.17138,1.1767917,0.023196299,0.6694759
1,0.012197,0.073665,-0.07096,-0.029268,1.262505,0.04993315,1.126916
1,-0.06284,-0.073665,0.14359,0.022327,1.2288721,0.06747912,1.120362
1,0.005796,0.161095,-0.17151,-0.142285,1.2320724,0.026244348,0.8769377
1,-0.020402,0.027107,-0.026363,0.03293,1.2190688,0.05253471,0.99472475
1,-0.10605,-0.002794,0.09745,0.06765,1.1798362,0.056772757,0.88697386
1,0.03106,0.183855,-0.203855,-0.103555,1.2576759,0.01879359,0.91835874
1,0.016663,0.16554,-0.225405,-0.2006,1.204638,0.01139507,0.6917164
1,-0.087395,-0.29115,0.293495,0.0606,1.1598506,0.054581895,0.8052538
1,-0.037162,-0.016451,-0.021393,0.011659,1.1665804,0.04782325,0.7865323
1,-0.069855,0.165955,-0.069635,-0.09974,1.2143716,0.043667473,0.92399895
1,-0.024974,0.08867,-0.112345,-0.034052,1.1844671,0.035934422,0.77424216
1,-0.336935,0.349395,0.033917,-0.379435,1.0556648,0.00436717,0.13995405
1,0.000156,-0.200305,0.08978,0.045861,1.1785955,0.056644853,0.881951
1,-0.017445,0.159645,-0.17027,-0.15916,1.1985354,0.024825612,0.75373256
1,-0.12763,-0.368125,0.346275,-0.033406,1.0896881,0.040854167,0.48112866
1,-0.07227,-0.421925,0.442415,0.048447,1.2121015,0.049054448,0.94947976
1,-0.174585,-0.60868,0.718445,-0.03082,1.1625907,0.012974833,0.5579628
