Concrete Compressive Strength,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate
81.75117,315,137,0,145,5.9,1130,745
79.986115,540,0,0,162,2.5,1040,676
78.80021,451,0,0,165,11.25,1030,745
76.23536,275,180,120,162,10.35,830,765
74.98741,522,0,0,146,0,896,896
74.69783,323.7,282.8,0,183.8,10.3,942.7,659.9
74.49788,389.9,189,0,145.9,22,944.7,755.8
72.0985,424,22,132,168,8.92,822,750
71.98819,485,0,0,146,0,1120,800
71.29871,362.6,189,0,164.9,11.6,944.7,755.8
69.83702,500,0,0,151,9,1033,655
68.49944,401.8,94.7,0,147.4,11.4,946.8,852.1
68.29949,475,118.8,0,181.1,8.9,852.1,781.5
67.86512,250,180,95,159,9.45,860,800
67.699646,286.3,200.9,0,144.7,11.2,1004.6,803.7
67.56865,500,0,0,140,4,966,853
67.30665,540,0,0,173,0,1125,613
66.89986,469,117.2,0,137.8,32.2,852.1,840.5
65.99664,439,177,0,186,11.1,884.9,707.9
65.90908,366,187,0,191.3,6.6,824.3,756.9
65.90701,366,187,0,191,7,824,757
64.017845,505,0,60,195,0,1030,630
63.142212,277.19,97.82,24.46,160.7,11.19,1061.7,782.46
62.935368,359,19,141,154,10.91,942,801
62.05284,424,22,132,178,8.48,822,750
61.887367,540,0,0,162,2.5,1055,676
61.797733,425,106.3,0,151.4,18.6,936,803.7
61.23581,325.6,166.4,0,174,8.9,881.6,790
61.232365,326,166,0,174,9,882,790
61.094467,374,189.2,0,170.1,10.1,926.1,756.7
60.294678,425,106.3,0,153.5,16.5,852.1,887.1
60.280888,520,0,0,170,5.2,855,855
59.798252,313.3,262.2,0,175.5,8.6,1046.9,611.8
59.494884,359,19,141,154,10.91,942,801
58.998463,356,119,0,160,9.03,1061,657
58.522724,475,0,0,162,9.5,1044,662
57.915985,491,26,123,201,3.93,822,699
57.22651,475,0,59,142,1.9,1098,641
57.218235,321.3,164.2,0,190.5,4.6,870,774
57.21272,321,164,0,190,5,870,774
57.02656,446,24,79,162,11.61,967,712
56.833508,528,0,0,185,6.86,920,720
56.69561,375,93.8,0,126.6,23.4,852.1,992.6
56.61908,330.5,169.6,0,194.9,8.1,811,802.3
56.612873,331,170,0,195,8,811,802
56.399136,531.3,0,0,141.8,28.2,852.1,893.7
55.944084,525,0,0,189,0,1125,613
55.64761,397,17.2,158,167,20.8,967,633
55.551083,385,0,136,158,20,903,768
55.551083,491,26,123,210,3.93,882,699
55.509712,218.23,54.64,123.78,140.75,11.91,1075.7,792.67
55.495922,318.8,212.5,0,155.7,14.3,852.1,880.4
55.454556,355,19,97,145,12.25,967,871
53.57918,285,190,0,163,7.6,1031,685
53.52471,297.8,137.2,106.9,201.3,6,878.4,655.3
53.52402,298,137,107,201,6,878,655
53.386127,446,24,79,162,10.3,967,712
52.82696,279.8,128.9,100.4,172.4,9.5,825.1,804.9
52.820755,280,129,100,172,9,825,805
52.503597,246.83,0,125.08,143.3,11.99,1086.8,800.89
52.44637,312.9,160.5,0,177.6,9.6,916.6,759.5
52.441544,313,161,0,178,10,917,759
52.426376,322.5,148.6,0,185.8,8.5,951,709.5
52.42086,322,149,0,186,8,951,709
52.30365,405,0,0,175,0,1120,695
52.20023,379.5,151.2,0,153.9,15.9,1134.3,605
52.20023,214.9,53.8,121.89,155.63,9.61,1014.3,780.58
51.33149,275.07,0,121.35,159.48,9.9,1053.6,777.5
51.021225,520,0,0,175,5.2,870,805
51.021225,446,24,79,162,11.64,967,712
50.69717,388.6,97.1,0,157.9,12.1,852.1,925.7
50.600643,252.31,0,98.75,146.25,14.17,987.76,889.01
50.23522,387,20,94,157,14.32,938,845
49.897377,337.9,189,0,174.9,9.5,944.7,755.8
49.773273,260,101,78,171,10,936,763
