Concrete Compressive Strength,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age
59.09499,389.9,189,0,145.9,22,944.7,755.8,7
56.095768,439,177,0,186,11.1,884.9,707.9,7
55.89582,362.6,189,0,164.9,11.6,944.7,755.8,7
55.599346,475,118.8,0,181.1,8.9,852.1,781.5,7
54.89608,469,117.2,0,137.8,32.2,852.1,840.5,7
54.096287,401.8,94.7,0,147.4,11.4,946.8,852.1,7
52.613914,540,0,0,173,0,1125,613,7
52.007175,446,24,79,162,11.61,967,712,7
50.511013,522,0,0,146,0,896,896,7
49.80085,323.7,282.8,0,183.8,10.3,942.7,659.9,7
49.201008,425,106.3,0,153.5,16.5,852.1,887.1,7
47.098106,379.5,151.2,0,153.9,15.9,1134.3,605,7
46.89816,531.3,0,0,141.8,28.2,852.1,893.7,7
46.801632,425,106.3,0,151.4,18.6,936,803.7,7
46.201786,374,189.2,0,170.1,10.1,926.1,756.7,7
45.89842,387,20,94,157,13.93,938,845,7
45.69847,375,93.8,0,126.6,23.4,852.1,992.6,7
42.795776,313.3,262.2,0,175.5,8.6,1046.9,611.8,7
42.42346,525,0,0,189,0,1125,613,7
41.665035,387,20,94,157,11.61,938,845,7
41.637455,540,0,0,173,0,1125,613,3
41.299614,531.3,0,0,141.8,28.2,852.1,893.7,3
41.099663,401.8,94.7,0,147.4,11.4,946.8,852.1,3
40.596348,389.9,189,0,145.9,22,944.7,755.8,3
40.2851,424,22,132,168,8.92,822,750,7
40.19645,469,117.2,0,137.8,32.2,852.1,840.5,3
39.300133,439,177,0,186,11.1,884.9,707.9,3
39.300133,446,24,79,162,11.64,967,712,7
39.004642,424,22,132,178,8.48,822,750,7
38.610657,359,19,141,154,10.91,942,801,7
38.60376,475,0,0,228,0,932,594,7
38.017708,446,24,79,162,11.64,967,712,7
37.99702,286.3,200.9,0,144.7,11.2,1004.6,803.7,7
37.92118,491,26,123,201,3.93,822,699,7
37.797073,475,118.8,0,181.1,8.9,852.1,781.5,3
36.838703,387,20,94,157,14.32,938,845,7
36.30091,425,106.3,0,151.4,18.6,936,803.7,3
35.754257,359,19,141,154,10.91,942,801,7
35.363224,446,24,79,162,11.61,967,712,3
35.30117,362.6,189,0,164.9,11.6,944.7,755.8,3
35.101223,337.9,189,0,174.9,9.5,944.7,755.8,7
35.0764,427.5,47.5,0,228,0,932,594,7
34.901276,388.6,97.1,0,157.9,12.1,852.1,925.7,7
34.770275,387,20,94,157,11.61,938,845,3
34.569637,480,0,0,192,0,936.2,712.2,7
34.397957,374,189.2,0,170.1,10.1,926.1,756.7,3
33.798115,525,0,0,189,0,1125,613,3
33.488834,491,26,123,210,3.93,882,699,7
33.398216,425,106.3,0,153.5,16.5,852.1,887.1,3
33.398216,318.8,212.5,0,155.7,14.3,852.1,880.4,7
33.21206,500,0,0,200,0,1125,613,7
32.823193,380,95,0,228,0,932,594,7
32.109882,424,22,132,168,8.92,822,750,3
32.011387,424,22,132,178,8.48,882,750,3
30.957472,297,0,0,186,0,1040,734,7
30.44726,277.19,97.82,24.46,160.7,11.19,1061.7,782.46,3
30.275581,332.5,142.5,0,228,0,932,594,7
30.14389,400,0,0,187,0,1025,745,7
29.548971,491,26,123,201,3.93,822,699,3
28.999361,375,93.8,0,126.6,23.4,852.1,992.6,3
28.799412,313.3,262.2,0,175.5,8.6,1046.9,611.8,3
28.599464,379.5,151.2,0,153.9,15.9,1134.3,605,3
28.296095,323.7,282.8,0,183.8,10.3,942.7,659.9,3
28.096148,388.6,97.1,0,157.9,12.1,852.1,925.7,3
27.742445,393,0,0,192,0,940.6,785.6,7
27.42046,218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3
26.258003,237.5,237.5,0,228,0,932,594,7
26.062193,375,0,0,186,0,1038,758,7
26.062193,500,0,0,200,0,1125,613,3
25.89396,305.3,203.5,0,203.5,0,965.4,631,7
25.609108,491,26,123,210,3.93,882,699,3
25.510612,387,20,94,157,13.93,938,845,3
25.44787,397,0,0,185.7,0,1040.6,734.3,7
25.42236,239.6,359.4,0,185.7,0,941.6,664.3,7
25.200348,318.8,212.5,0,155.7,14.3,852.1,880.4,3
25.116625,359,19,141,154,10.91,942,801,3
25.021084,446,24,79,162,11.64,967,712,3
24.437788,316.1,210.7,0,185.7,0,977,689.3,7
24.404692,480,0,0,192,0,936.2,712.2,3
24.400557,286.3,200.9,0,144.7,11.2,1004.6,803.7,3
24.393661,480,0,0,192,0,936,721,3
24.13166,284,15,141,179,5.46,842,801,7
24.097187,337.9,189,0,174.9,9.5,944.7,755.8,3
24.06547,382.5,0,0,185.7,0,1047.8,739.3,7
24.00066,382,0,0,186,0,1047,739,7
24.00066,382,0,0,185,0,1047,739,7
23.80071,275.07,0,121.35,159.48,9.9,1053.6,777.5,3
23.639177,359,19,141,154,10.91,942,801,3
23.524921,246.83,0,125.08,143.3,11.99,1086.8,800.89,3
23.523542,288,192,0,192,0,932,717.8,7
23.404953,333,0,0,192,0,931.2,842.6,7
23.345657,446,24,79,162,11.64,967,712,3
23.221552,385,0,0,186,0,966,763,7
23.138815,277.05,0,97.39,160.6,11.83,973.9,875.61,3
23.076761,173.54,50.05,173.53,164.77,6.47,1006.2,793.5,3
22.94576,295.71,0,95.64,171.54,8.87,955.14,859.2,3
22.897497,362.6,189,0,164.9,11.6,944.7,755.8,7
22.752708,387,20,94,157,14.32,938,845,3
22.504498,290.35,0,96.18,168.08,9.41,961.18,865,3
21.917063,228,342.1,0,185.7,0,955.8,674.3,7
21.911547,297.16,0,117.54,174.8,9.52,1022.8,753.45,3
21.859148,290.2,193.5,0,185.7,0,998.2,704.3,7
21.819847,210.7,316.1,0,185.7,0,977,689.3,7
21.780546,252.31,0,98.75,146.25,14.17,987.76,889.01,3
21.480625,192,288,0,192,0,929.8,716.1,7
21.29102,172.38,13.61,172.37,156.76,4.14,1006.3,856.4,3
21.179323,339.2,0,0,185.7,0,1069.2,754.3,7
21.160019,339,0,0,185,0,1069,754,7
21.022123,251.81,0,99.94,146.14,12.35,1006,899.76,3
20.966965,339,0,0,197,0,968,781,7
20.725649,178.03,129.8,118.6,179.94,3.57,1007.3,746.8,3
20.416075,236,157,0,192,0,972.6,749.1,7
20.277489,350,0,0,186,0,1050,770,7
19.93275,238.05,0,94.11,186.66,7,949.91,847.01,3
19.76521,272.8,181.9,0,185.7,0,1012.4,714.3,7
19.53906,203.5,305.3,0,203.5,0,963.4,630,7
19.519066,212,0,124.78,159,7.84,1085.4,799.54,3
19.415644,165,128.5,132.1,175.06,8.08,1005.8,746.6,3
19.350143,250.2,166.8,0,203.5,0,977.6,694.1,7
19.199148,393,0,0,192,0,940.6,785.6,3
19.10538,393,0,0,192,0,940,758,3
18.912327,296,0,0,186,0,1090,769,7
18.126324,350,0,0,203,0,974,775,7
18.126324,349,0,0,192,0,1047,806,7
18.016008,214.9,53.8,121.89,155.63,9.61,1014.3,780.58,3
17.995323,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3
17.574743,213.74,0,174.74,154.79,10.16,1053.5,776.35,3
17.54027,325,0,0,184,0,1063,783,7
17.436848,331,0,0,192,0,1025,821,7
17.3679,213.5,0,174.24,154.61,11.66,1052.3,775.48,3
17.243795,310,0,0,192,0,1012,830,7
17.23621,255.5,170.3,0,185.7,0,1026.6,724.3,7
17.22311,251.37,0,118.27,188.45,5.75,1028.4,757.73,3
17.200357,193.5,290.2,0,185.7,0,998.2,704.3,7
17.165884,200,133,0,192,0,965.4,806.2,7
16.889404,157,236,0,192,0,935.4,781.2,7
16.278528,376,0,0,214.6,0,1003.5,762.36,3
16.264738,331,0,0,192,0,978,825,7
16.109606,288,192,0,192,0,932,717.8,3
15.8717375,349,0,0,192,0,1056,809,3
15.81658,173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3
15.748322,166.8,250.2,0,203.5,0,975.6,692.6,7
15.691094,238.2,158.8,0,185.7,0,1040.6,734.3,7
15.615942,333,0,0,192,0,931.2,842.6,3
15.609736,213.5,0,174.24,159.21,11.66,1043.6,771.9,3
15.575263,300,0,0,184,0,1075,795,7
15.520104,167,75.4,167,164.03,7.91,1007.3,770.1,3
