Concrete Compressive Strength,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age
82.59923,389.9,189,0,145.9,22,944.7,755.8,91
79.29664,362.6,189,0,164.9,11.6,944.7,755.8,91
76.80073,286.3,200.9,0,144.7,11.2,1004.6,803.7,91
75.49762,401.8,94.7,0,147.4,11.4,946.8,852.1,91
74.19451,475,118.8,0,181.1,8.9,852.1,781.5,91
73.298195,439,177,0,186,11.1,884.9,707.9,91
70.69887,469,117.2,0,137.8,32.2,852.1,840.5,91
69.65776,540,0,0,173,0,1125,613,90
68.09954,318.8,212.5,0,155.7,14.3,852.1,880.4,91
67.79617,337.9,189,0,174.9,9.5,944.7,755.8,91
66.94812,277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100
66.699905,425,106.3,0,151.4,18.6,936,803.7,91
66.59649,313.3,262.2,0,175.5,8.6,1046.9,611.8,91
66.42412,246.83,0,125.08,143.3,11.99,1086.8,800.89,100
65.19685,425,106.3,0,153.5,16.5,852.1,887.1,91
64.900375,374,189.2,0,170.1,10.1,926.1,756.7,91
63.52832,218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100
62.501,375,93.8,0,126.6,23.4,852.1,992.6,91
60.949677,252.31,0,98.75,146.25,14.17,987.76,889.01,100
59.30183,213.5,0,174.24,154.61,11.66,1052.3,775.48,100
59.19841,531.3,0,0,141.8,28.2,852.1,893.7,91
58.784725,525,0,0,189,0,1125,613,90
58.60546,275.07,0,121.35,159.48,9.9,1053.6,777.5,100
57.598824,388.6,97.1,0,157.9,12.1,852.1,925.7,91
56.812824,167,75.4,167,164.03,7.91,1007.3,770.1,100
56.743874,297.16,0,117.54,174.8,9.52,1022.8,753.45,100
56.63356,214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100
56.495663,379.5,151.2,0,153.9,15.9,1134.3,605,91
56.061295,173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100
55.640713,277.05,0,97.39,160.6,11.83,973.9,875.61,100
55.020184,165,128.5,132.1,175.06,8.08,1005.8,746.6,100
54.598915,305.3,203.5,0,203.5,0,965.4,631,90
54.31554,480,0,0,192,0,936.2,712.2,90
54.27555,480,0,0,192,0,936,721,90
53.903233,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100
53.65502,167.35,129.9,128.62,175.46,7.79,1006.3,746.6,100
52.958652,213.5,0,174.24,159.21,11.66,1043.6,771.9,100
52.90832,380,0,0,228,0,932,670,90
52.04165,295.71,0,95.64,171.54,8.87,955.14,859.2,100
51.86376,203.5,305.3,0,203.5,0,963.4,630,90
51.0557,249.1,0,98.75,158.11,12.8,987.76,889.01,100
50.938488,173.81,93.37,159.9,172.34,9.73,1007.2,746.6,100
50.732334,192,288,0,192,0,929.8,716.1,90
50.52687,288,192,0,192,0,932,717.8,90
50.4593,342,38,0,228,0,932,670,90
