Concrete Compressive Strength,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age
7.3153405,182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3
7.3980775,168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3
7.74971,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3
9.849657,202,11,141,206,1.72,942,801,3
13.182781,213.76,98.06,24.52,181.74,6.65,1066,785.52,3
13.395534,284,15,141,179,5.46,842,801,3
14.940945,167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3
15.069976,202,11,141,206,1.72,942,801,7
15.340841,144,15,195,176,6,1021,709,28
15.520104,167,75.4,167,164.03,7.91,1007.3,770.1,3
15.81658,173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3
16.49916,154,144,112,220,10,923,658,28
16.503986,153.6,144.2,112.3,220.1,10.1,923.2,657.9,28
17.822954,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14
17.836744,213.76,98.06,24.52,181.74,6.65,1066,785.52,14
17.995323,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3
18.016008,214.9,53.8,121.89,155.63,9.61,1014.3,780.58,3
19.415644,165,128.5,132.1,175.06,8.08,1005.8,746.6,3
19.98791,146.5,114.6,89.3,201.9,8.8,860,829.5,28
19.98791,147,115,89,202,9,860,829,28
20.725649,178.03,129.8,118.6,179.94,3.57,1007.3,746.8,3
21.29102,172.38,13.61,172.37,156.76,4.14,1006.3,856.4,3
21.504757,182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14
21.911547,135,105,193,196,6,965,643,28
21.966705,202,11,141,206,1.72,942,801,28
22.752708,387,20,94,157,14.32,938,845,3
22.931973,184,86,190,213,6,923,623,28
23.076761,173.54,50.05,173.53,164.77,6.47,1006.2,793.5,3
23.245192,202,11,141,206,1.72,942,801,56
23.345657,446,24,79,162,11.64,967,712,3
23.511131,168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14
23.518026,149,118,92,183,7,953,780,28
23.524231,149,117.6,91.7,182.9,7.1,953.4,780.3,28
23.639177,359,19,141,154,10.91,942,801,3
23.690395,149,139,109,193,6,892,780,28
23.6966,148.5,139.4,108.6,192.7,6.1,892.4,780,28
23.890343,167,187,195,185,7,898,636,28
24.13166,284,15,141,179,5.46,842,801,7
24.241976,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28
24.338503,154,174,185,228,7,845,612,28
24.579819,149,153,194,192,8,935,623,28
