Concrete Compressive Strength,Cement,Water,Coarse Aggregate,Fine Aggregate,Age
6.267337,385,186,966,763,1
6.4672847,236,194,968,885,3
7.839342,200,180,1125,845,7
8.204075,255,192,889.8,945,3
9.011452,349,192,1056,809,7
9.307926,254,198,968,863,3
9.866402,310,192,971,850.6,3
9.990507,236,193,968,885,7
10.222171,255,192,889.8,945,7
10.335935,238.1,185.7,1118.8,789.3,7
11.169511,225,181,1113,833,7
11.362564,277,191,968,856,3
11.465986,252,186,1111,784,7
11.465986,382,186,1111,784,7
11.483912,252.5,185.7,1111.6,784.3,7
11.654902,289,192,913.2,895.3,3
11.852093,310,192,1012,830,3
12.05204,238,186,1119,789,7
12.245093,200,180,1125,845,28
12.541569,307,193,968,812,3
12.638095,500,200,1125,613,1
12.734622,250,182,1100,820,7
12.838043,236,194,968,885,14
13.22415,339,197,968,781,3
13.520624,331,192,879,825,3
13.520624,331,192,978,825,3
13.713677,252,185,1111,784,7
14.203206,296,192,1085,765,7
14.203206,275,183,1088,808,7
14.306627,331,192,1025,821,3
14.4996805,281,186,1104,774,7
14.541049,381.4,185.7,1104.6,784.3,7
14.596896,289,192,913.2,895.3,7
14.699628,385,186,966,763,3
14.796155,295,185,1069,769,7
14.843729,295.8,185.7,1091.4,769.3,7
14.989208,310,192,970,850,7
14.989208,349,192,1047,806,3
15.049192,349,192,1047,806.9,3
15.575263,300,184,1075,795,7
15.615942,333,192,931.2,842.6,3
15.8717375,349,192,1056,809,3
16.264738,331,192,978,825,7
16.278528,376,214.6,1003.5,762.36,3
17.243795,310,192,1012,830,7
17.34032,225,181,1113,833,28
17.436848,331,192,1025,821,7
17.54027,238,185,1118,789,28
17.54027,238,186,1119,789,28
17.54027,325,184,1063,783,7
17.576122,238.1,185.7,1118.8,789.3,28
18.126324,302,203,974,817,14
18.126324,349,192,1047,806,7
18.126324,350,203,974,775,7
18.415903,236,194,968,885,28
18.746162,255,192,889.8,945,28
18.912327,296,186,1090,769,7
19.10538,393,192,940,758,3
19.199148,393,192,940.6,785.6,3
19.691435,252,185,1111,784,28
19.76521,252.5,185.7,1111.6,784.3,28
20.277489,350,186,1050,770,7
20.773912,322,203,974,800,14
20.870438,250,182,1100,820,28
20.966965,339,197,968,781,7
21.160019,339,185,1069,754,7
21.179323,339.2,185.7,1069.2,754.3,7
21.26344,277,191,968,856,14
21.649546,296,192,1085,765,28
21.752968,302,203,974,817,28
21.859148,255,192,889.8,945,90
21.94602,236,194,968,885,90
22.435549,281,186,1104,774,28
22.435549,281,185,1104,774,28
22.489328,381.4,185.7,1104.6,784.3,28
22.532076,350,203,974,775,14
23.221552,385,186,966,763,7
23.404953,333,192,931.2,842.6,7
23.848974,436,218,838.4,719.7,28
24.00066,382,185,1047,739,7
24.00066,382,186,1047,739,7
24.06547,382.5,185.7,1047.8,739.3,7
24.10408,236,193,968,885,180
24.393661,480,192,936,721,3
24.404692,480,192,936.2,712.2,3
24.497082,275,183,1088,808,28
25.083138,236,193,968,885,365
25.179663,322,203,974,800,28
25.179663,295,185,1069,769,28
25.179663,296,186,1090,769,28
25.216896,295.8,185.7,1091.4,769.3,28
25.44787,397,185.7,1040.6,734.3,7
25.573355,289,192,913.2,895.3,28
25.620928,376,214.6,1003.5,762.36,14
25.965666,277,191,968,856,28
26.062193,500,200,1125,613,3
26.062193,375,186,1038,758,7
26.744774,302,203,974,817,180
26.848196,300,184,1075,795,28
26.944721,254,198,968,863,90
27.041248,339,197,968,781,14
27.337723,350,203,974,775,28
27.530777,307,193,968,812,28
27.627304,254,198,968,863,180
27.742445,393,192,940.6,785.6,7
27.827251,310,192,1012,830,28
27.923779,310,192,970,850,28
27.923779,385,186,966,763,14
29.392363,296,192,1085,765,90
29.585415,322,203,974,800,180
29.785364,254,198,968,863,365
29.978416,350,203,974,775,56
30.14389,400,187,1025,745,7
30.571365,325,184,1063,783,28
30.957472,297,186,1040,734,7
31.253946,277,191,968,856,90
31.350473,385,186,966,763,28
31.350473,350,203,974,775,90
31.447,331,192,978,825,28
31.646948,339,185,1060,754,28
31.743475,331,192,1025,821,28
31.840002,339,185,1069,754,28
31.899986,339.2,185.7,1069.2,754.3,28
31.966866,333,192,931.2,842.6,28
31.971003,376,214.6,1003.5,762.36,28
32.03995,339,197,968,781,28
32.06822,289,192,913.2,895.3,90
32.32953,277,191,968,856,180
32.72253,349,192,1047,806,28
32.72253,350,203,974,775,180
32.922478,307,193,968,812,90
33.082436,397,185.7,1040.6,734.3,28
33.21206,500,200,1125,613,7
33.60506,349,192,1056,809,28
33.701588,277,191,968,856,360
33.798115,525,189,1125,613,3
34.294537,350,186,1050,770,28
34.48759,307,193,968,812,180
34.569637,480,192,936.2,712.2,7
34.68064,310,192,970,850,90
35.17017,339,197,968,781,90
35.76312,310,192,1012,830,90
36.149227,307,193,968,812,365
36.30091,376,214.6,1003.5,762.36,56
36.4457,339,197,968,781,180
36.93523,500,200,1125,613,14
36.93523,397,186,1040,734,28
37.231705,331,192,978,825,90
37.32823,310,192,970,850,180
37.42476,382,185,1047,739,28
37.42476,382,186,1047,739,28
37.43786,382.5,185.7,1047.8,739.3,28
37.914284,331,192,1025,821,90
38.114235,310,192,970,850,360
38.21076,375,186,1038,758,28
38.60376,475,228,932,594,7
38.700287,310,192,1012,830,120
38.89334,339,197,968,781,365
38.99676,331,192,978,825,180
39.09329,397,185,1040,734,28
39.28979,475,228,932,594,28
39.38287,331,192,1025,821,120
39.48629,349,192,1047,806,90
39.582817,393,192,940,758,28
39.60488,393,192,940.6,785.6,28
40.6584,349,192,1056,809,90
40.85835,349,192,1056,809,120
41.0514,349,192,1047,806,180
41.244453,331,192,978,825,360
41.637455,540,173,1125,613,3
41.680202,333,192,931.2,842.6,90
41.93462,475,228,932,594,365
42.126984,349,192,1047,806,360
42.13112,475,228,932,594,270
42.229027,475,228,932,594,90
42.42346,525,189,1125,613,7
42.620647,475,228,932,594,180
43.057777,376,214.6,1003.5,762.36,100
43.69899,400,187,1025,745,28
43.89204,480,192,936,721,28
43.942375,480,192,936.2,712.2,28
44.09199,500,200,1125,613,28
47.22221,500,200,1125,613,90
48.401215,525,189,1125,613,14
48.794216,393,192,940,758,90
48.846615,393,192,940.6,785.6,90
50.511013,522,146,896,896,7
51.04191,500,200,1125,613,180
52.30365,405,175,1120,695,28
52.516697,380,228,932,670,365
52.613914,540,173,1125,613,7
52.90832,380,228,932,670,90
53.10413,380,228,932,670,180
53.300632,380,228,932,670,270
54.27555,480,192,936,721,90
54.31554,480,192,936.2,712.2,90
55.15808,500,200,1125,613,270
55.944084,525,189,1125,613,28
58.784725,525,189,1125,613,90
59.76378,540,173,1125,613,14
61.92184,525,189,1125,613,180
67.113594,525,189,1125,613,270
67.30665,540,173,1125,613,28
69.65776,540,173,1125,613,90
71.622765,540,173,1125,613,180
71.98819,485,146,1120,800,28
74.16693,540,173,1125,613,270
74.98741,522,146,896,896,28
