Concrete Compressive Strength,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age
21.911547,297.16,0,117.54,174.8,9.52,1022.8,753.45,3
22.897497,362.6,189,0,164.9,11.6,944.7,755.8,7
24.097187,337.9,189,0,174.9,9.5,944.7,755.8,3
24.400557,286.3,200.9,0,144.7,11.2,1004.6,803.7,3
28.296095,323.7,282.8,0,183.8,10.3,942.7,659.9,3
28.799412,313.3,262.2,0,175.5,8.6,1046.9,611.8,3
30.957472,297,0,0,186,0,1040,734,7
32.109882,424,22,132,168,8.92,822,750,3
35.101223,337.9,189,0,174.9,9.5,944.7,755.8,7
35.30117,362.6,189,0,164.9,11.6,944.7,755.8,3
36.990387,297.16,0,117.54,174.8,9.52,1022.8,753.45,14
37.797073,475,118.8,0,181.1,8.9,852.1,781.5,3
37.99702,286.3,200.9,0,144.7,11.2,1004.6,803.7,7
39.004642,424,22,132,178,8.48,822,750,7
39.300133,439,177,0,186,11.1,884.9,707.9,3
40.2851,424,22,132,168,8.92,822,750,7
40.596348,389.9,189,0,145.9,22,944.7,755.8,3
41.099663,401.8,94.7,0,147.4,11.4,946.8,852.1,3
41.637455,540,0,0,173,0,1125,613,3
42.795776,313.3,262.2,0,175.5,8.6,1046.9,611.8,7
47.401474,297.16,0,117.54,174.8,9.52,1022.8,753.45,28
49.80085,323.7,282.8,0,183.8,10.3,942.7,659.9,7
49.897377,337.9,189,0,174.9,9.5,944.7,755.8,28
50.511013,522,0,0,146,0,896,896,7
51.95891,297.16,0,117.54,174.8,9.52,1022.8,753.45,56
52.613914,540,0,0,173,0,1125,613,7
54.096287,401.8,94.7,0,147.4,11.4,946.8,852.1,7
55.599346,475,118.8,0,181.1,8.9,852.1,781.5,7
55.89582,362.6,189,0,164.9,11.6,944.7,755.8,7
56.095768,439,177,0,186,11.1,884.9,707.9,7
56.743874,297.16,0,117.54,174.8,9.52,1022.8,753.45,100
58.522724,475,0,0,162,9.5,1044,662,28
59.09499,389.9,189,0,145.9,22,944.7,755.8,7
59.76378,540,0,0,173,0,1125,613,14
59.798252,313.3,262.2,0,175.5,8.6,1046.9,611.8,28
59.89478,337.9,189,0,174.9,9.5,944.7,755.8,56
60.280888,520,0,0,170,5.2,855,855,28
62.05284,424,22,132,178,8.48,822,750,28
64.900375,313.3,262.2,0,175.5,8.6,1046.9,611.8,56
65.69721,424,22,132,178,8.48,822,750,56
65.99664,439,177,0,186,11.1,884.9,707.9,28
66.59649,313.3,262.2,0,175.5,8.6,1046.9,611.8,91
67.30665,540,0,0,173,0,1125,613,28
67.699646,286.3,200.9,0,144.7,11.2,1004.6,803.7,28
67.79617,337.9,189,0,174.9,9.5,944.7,755.8,91
68.29949,475,118.8,0,181.1,8.9,852.1,781.5,28
68.49944,401.8,94.7,0,147.4,11.4,946.8,852.1,28
69.65776,540,0,0,173,0,1125,613,90
69.83702,500,0,0,151,9,1033,655,28
71.29871,362.6,189,0,164.9,11.6,944.7,755.8,28
71.622765,540,0,0,173,0,1125,613,180
71.69861,439,177,0,186,11.1,884.9,707.9,56
71.98819,485,0,0,146,0,1120,800,28
72.0985,424,22,132,168,8.92,822,750,28
72.298454,475,118.8,0,181.1,8.9,852.1,781.5,56
72.99483,286.3,200.9,0,144.7,11.2,1004.6,803.7,56
73.298195,439,177,0,186,11.1,884.9,707.9,91
73.69809,401.8,94.7,0,147.4,11.4,946.8,852.1,56
74.16693,540,0,0,173,0,1125,613,270
74.19451,475,118.8,0,181.1,8.9,852.1,781.5,91
74.364914,424,22,132,168,8.92,822,750,56
74.49788,389.9,189,0,145.9,22,944.7,755.8,28
74.69783,323.7,282.8,0,183.8,10.3,942.7,659.9,28
74.98741,522,0,0,146,0,896,896,28
75.49762,401.8,94.7,0,147.4,11.4,946.8,852.1,91
76.23536,275,180,120,162,10.35,830,765,28
76.80073,286.3,200.9,0,144.7,11.2,1004.6,803.7,91
77.29716,362.6,189,0,164.9,11.6,944.7,755.8,56
78.80021,451,0,0,165,11.25,1030,745,28
79.29664,362.6,189,0,164.9,11.6,944.7,755.8,91
79.400055,389.9,189,0,145.9,22,944.7,755.8,56
79.986115,540,0,0,162,2.5,1040,676,28
80.19985,323.7,282.8,0,183.8,10.3,942.7,659.9,56
81.75117,315,137,0,145,5.9,1130,745,28
82.59923,389.9,189,0,145.9,22,944.7,755.8,91
