Concrete Compressive Strength,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age
82.59923,389.9,189,0,145.9,22,944.7,755.8,91
81.75117,315,137,0,145,5.9,1130,745,28
80.19985,323.7,282.8,0,183.8,10.3,942.7,659.9,56
79.986115,540,0,0,162,2.5,1040,676,28
79.400055,389.9,189,0,145.9,22,944.7,755.8,56
79.29664,362.6,189,0,164.9,11.6,944.7,755.8,91
78.80021,451,0,0,165,11.25,1030,745,28
77.29716,362.6,189,0,164.9,11.6,944.7,755.8,56
76.80073,286.3,200.9,0,144.7,11.2,1004.6,803.7,91
76.23536,275,180,120,162,10.35,830,765,28
75.49762,401.8,94.7,0,147.4,11.4,946.8,852.1,91
74.98741,522,0,0,146,0,896,896,28
74.69783,323.7,282.8,0,183.8,10.3,942.7,659.9,28
74.49788,389.9,189,0,145.9,22,944.7,755.8,28
74.364914,424,22,132,168,8.92,822,750,56
74.19451,475,118.8,0,181.1,8.9,852.1,781.5,91
74.16693,540,0,0,173,0,1125,613,270
73.69809,401.8,94.7,0,147.4,11.4,946.8,852.1,56
73.298195,439,177,0,186,11.1,884.9,707.9,91
72.99483,286.3,200.9,0,144.7,11.2,1004.6,803.7,56
72.298454,475,118.8,0,181.1,8.9,852.1,781.5,56
72.0985,424,22,132,168,8.92,822,750,28
71.98819,485,0,0,146,0,1120,800,28
71.69861,439,177,0,186,11.1,884.9,707.9,56
71.622765,540,0,0,173,0,1125,613,180
71.29871,362.6,189,0,164.9,11.6,944.7,755.8,28
70.69887,469,117.2,0,137.8,32.2,852.1,840.5,91
69.83702,500,0,0,151,9,1033,655,28
69.65776,540,0,0,173,0,1125,613,90
69.29923,469,117.2,0,137.8,32.2,852.1,840.5,56
68.75061,359,19,141,154,10.91,942,801,56
68.49944,401.8,94.7,0,147.4,11.4,946.8,852.1,28
68.29949,475,118.8,0,181.1,8.9,852.1,781.5,28
68.09954,318.8,212.5,0,155.7,14.3,852.1,880.4,91
67.86512,250,180,95,159,9.45,860,800,28
67.79617,337.9,189,0,174.9,9.5,944.7,755.8,91
67.699646,286.3,200.9,0,144.7,11.2,1004.6,803.7,28
67.56865,500,0,0,140,4,966,853,28
67.30665,540,0,0,173,0,1125,613,28
67.113594,525,0,0,189,0,1125,613,270
66.94812,277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100
66.89986,469,117.2,0,137.8,32.2,852.1,840.5,28
66.82401,277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56
66.78068,359,19,141,154,10.91,942,801,56
66.699905,425,106.3,0,151.4,18.6,936,803.7,91
66.59649,313.3,262.2,0,175.5,8.6,1046.9,611.8,91
66.42412,246.83,0,125.08,143.3,11.99,1086.8,800.89,100
66.10007,318.8,212.5,0,155.7,14.3,852.1,880.4,56
65.99664,439,177,0,186,11.1,884.9,707.9,28
65.90908,366,187,0,191.3,6.6,824.3,756.9,28
65.90701,366,187,0,191,7,824,757,28
65.69721,424,22,132,178,8.48,822,750,56
65.19685,425,106.3,0,153.5,16.5,852.1,887.1,91
64.900375,313.3,262.2,0,175.5,8.6,1046.9,611.8,56
64.900375,425,106.3,0,151.4,18.6,936,803.7,56
64.900375,374,189.2,0,170.1,10.1,926.1,756.7,91
64.30053,425,106.3,0,153.5,16.5,852.1,887.1,56
64.017845,505,0,60,195,0,1030,630,28
63.52832,218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100
63.39732,374,189.2,0,170.1,10.1,926.1,756.7,56
63.142212,277.19,97.82,24.46,160.7,11.19,1061.7,782.46,28
62.935368,359,19,141,154,10.91,942,801,28
62.501,375,93.8,0,126.6,23.4,852.1,992.6,91
62.05284,424,22,132,178,8.48,822,750,28
61.990788,218.23,54.64,123.78,140.75,11.91,1075.7,792.67,56
61.92184,525,0,0,189,0,1125,613,180
61.887367,540,0,0,162,2.5,1055,676,28
61.855846,491,26,123,201,3.93,822,699,56
61.797733,425,106.3,0,151.4,18.6,936,803.7,28
61.459892,387,20,94,157,11.61,938,845,56
61.23581,325.6,166.4,0,174,8.9,881.6,790,28
61.232365,326,166,0,174,9,882,790,28
61.094467,374,189.2,0,170.1,10.1,926.1,756.7,28
61.06689,446,24,79,162,11.61,967,712,56
60.949677,252.31,0,98.75,146.25,14.17,987.76,889.01,100
60.322254,246.83,0,125.08,143.3,11.99,1086.8,800.89,56
60.294678,425,106.3,0,153.5,16.5,852.1,887.1,28
60.280888,520,0,0,170,5.2,855,855,28
60.19815,375,93.8,0,126.6,23.4,852.1,992.6,56
59.89478,337.9,189,0,174.9,9.5,944.7,755.8,56
59.798252,313.3,262.2,0,175.5,8.6,1046.9,611.8,28
59.76378,540,0,0,173,0,1125,613,14
59.590427,491,26,123,210,3.93,882,699,56
59.494884,359,19,141,154,10.91,942,801,28
59.30183,213.5,0,174.24,154.61,11.66,1052.3,775.48,100
59.19841,531.3,0,0,141.8,28.2,852.1,893.7,91
59.09499,389.9,189,0,145.9,22,944.7,755.8,7
58.998463,356,119,0,160,9.03,1061,657,28
58.79851,531.3,0,0,141.8,28.2,852.1,893.7,56
58.784725,525,0,0,189,0,1125,613,90
58.60546,275.07,0,121.35,159.48,9.9,1053.6,777.5,100
58.522724,475,0,0,162,9.5,1044,662,28
57.915985,491,26,123,201,3.93,822,699,28
57.598824,388.6,97.1,0,157.9,12.1,852.1,925.7,91
57.22651,475,0,59,142,1.9,1098,641,28
57.218235,321.3,164.2,0,190.5,4.6,870,774,28
57.21272,321,164,0,190,5,870,774,28
57.02656,446,24,79,162,11.61,967,712,28
56.847298,275.07,0,121.35,159.48,9.9,1053.6,777.5,56
56.833508,528,0,0,185,6.86,920,720,28
56.812824,167,75.4,167,164.03,7.91,1007.3,770.1,100
56.743874,297.16,0,117.54,174.8,9.52,1022.8,753.45,100
56.69561,375,93.8,0,126.6,23.4,852.1,992.6,28
56.63356,214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100
56.61908,330.5,169.6,0,194.9,8.1,811,802.3,28
56.612873,331,170,0,195,8,811,802,28
56.495663,379.5,151.2,0,153.9,15.9,1134.3,605,91
56.399136,531.3,0,0,141.8,28.2,852.1,893.7,28
56.337086,387,20,94,157,14.32,938,845,56
56.14403,446,24,79,162,11.64,967,712,56
56.141964,342,38,0,228,0,932,670,365
56.095768,439,177,0,186,11.1,884.9,707.9,7
56.061295,173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100
55.944084,525,0,0,189,0,1125,613,28
55.89582,362.6,189,0,164.9,11.6,944.7,755.8,7
55.82687,252.31,0,98.75,146.25,14.17,987.76,889.01,56
55.64761,397,17.2,158,167,20.8,967,633,28
55.640713,277.05,0,97.39,160.6,11.83,973.9,875.61,100
55.599346,475,118.8,0,181.1,8.9,852.1,781.5,7
55.551083,385,0,136,158,20,903,768,28
55.551083,491,26,123,210,3.93,882,699,28
55.509712,218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28
55.495922,318.8,212.5,0,155.7,14.3,852.1,880.4,28
55.454556,355,19,97,145,12.25,967,871,28
55.260124,304,76,0,228,0,932,670,365
55.25461,446,24,79,162,11.64,967,712,56
55.199448,388.6,97.1,0,157.9,12.1,852.1,925.7,56
55.15808,500,0,0,200,0,1125,613,270
55.064312,342,38,0,228,0,932,670,270
55.020184,165,128.5,132.1,175.06,8.08,1005.8,746.6,100
54.89608,469,117.2,0,137.8,32.2,852.1,840.5,7
54.89608,379.5,151.2,0,153.9,15.9,1134.3,605,56
54.76508,446,24,79,162,10.3,967,712,56
54.598915,305.3,203.5,0,203.5,0,965.4,631,90
54.378284,304,76,0,228,0,932,670,270
54.31554,480,0,0,192,0,936.2,712.2,90
54.27555,480,0,0,192,0,936,721,90
54.096287,401.8,94.7,0,147.4,11.4,946.8,852.1,7
53.958393,214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56
53.903233,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100
53.772232,173.54,50.05,173.53,164.77,6.47,1006.2,793.5,56
53.72397,165,128.5,132.1,175.06,8.08,1005.8,746.6,56
53.692253,190,190,0,228,0,932,670,365
53.65502,167.35,129.9,128.62,175.46,7.79,1006.3,746.6,100
53.57918,285,190,0,163,7.6,1031,685,28
53.52471,297.8,137.2,106.9,201.3,6,878.4,655.3,28
53.52402,298,137,107,201,6,878,655,28
53.461967,167,75.4,167,164.03,7.91,1007.3,770.1,56
53.386127,446,24,79,162,10.3,967,712,28
53.300632,380,0,0,228,0,932,670,270
53.10413,380,0,0,228,0,932,670,180
52.958652,213.5,0,174.24,159.21,11.66,1043.6,771.9,100
52.90832,380,0,0,228,0,932,670,90
52.90832,266,114,0,228,0,932,670,365
52.82696,279.8,128.9,100.4,172.4,9.5,825.1,804.9,28
52.820755,280,129,100,172,9,825,805,28
52.613914,540,0,0,173,0,1125,613,7
52.516697,380,0,0,228,0,932,670,365
52.503597,246.83,0,125.08,143.3,11.99,1086.8,800.89,28
52.44637,312.9,160.5,0,177.6,9.6,916.6,759.5,28
52.441544,313,161,0,178,10,917,759,28
52.426376,322.5,148.6,0,185.8,8.5,951,709.5,28
52.42086,322,149,0,186,8,951,709,28
52.30365,405,0,0,175,0,1120,695,28
52.20023,379.5,151.2,0,153.9,15.9,1134.3,605,28
52.20023,214.9,53.8,121.89,155.63,9.61,1014.3,780.58,28
52.124386,342,38,0,228,0,932,670,180
52.04165,295.71,0,95.64,171.54,8.87,955.14,859.2,100
52.007175,446,24,79,162,11.61,967,712,7
51.95891,297.16,0,117.54,174.8,9.52,1022.8,753.45,56
51.86376,203.5,305.3,0,203.5,0,963.4,630,90
51.73276,266,114,0,228,0,932,670,270
51.72449,167.35,129.9,128.62,175.46,7.79,1006.3,746.6,56
51.43491,213.5,0,174.24,154.61,11.66,1052.3,775.48,56
51.33149,275.07,0,121.35,159.48,9.9,1053.6,777.5,28
51.255646,213.5,0,174.24,159.21,11.66,1043.6,771.9,56
51.0557,249.1,0,98.75,158.11,12.8,987.76,889.01,100
51.04191,500,0,0,200,0,1125,613,180
51.035015,277.05,0,97.39,160.6,11.83,973.9,875.61,56
51.021225,520,0,0,175,5.2,870,805,28
51.021225,446,24,79,162,11.64,967,712,28
50.94883,304,76,0,228,0,932,670,180
50.938488,173.81,93.37,159.9,172.34,9.73,1007.2,746.6,100
50.773014,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56
50.732334,192,288,0,192,0,929.8,716.1,90
50.69717,388.6,97.1,0,157.9,12.1,852.1,925.7,28
50.655113,190,190,0,228,0,932,670,270
50.600643,252.31,0,98.75,146.25,14.17,987.76,889.01,28
50.52687,288,192,0,192,0,932,717.8,90
50.511013,522,0,0,146,0,896,896,7
50.4593,342,38,0,228,0,932,670,90
50.23522,387,20,94,157,14.32,938,845,28
50.07664,213.74,0,174.74,154.79,10.16,1053.5,776.35,100
49.993904,178.03,129.8,118.6,179.94,3.57,1007.3,746.8,100
49.97322,213.76,98.06,24.52,181.74,6.65,1066,785.52,100
