Concrete Compressive Strength,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age
78.49242,469.96417,248.66109,9.456581,142.03174,15.879405,874.3832,647.7862,5.492421
78.94196,532.6693,357.1196,146.27979,137.00381,29.78254,893.20807,649.21313,3.4965348
79.61598,532.4604,291.7558,53.060497,144.29782,24.775166,898.3674,756.8983,4.402313
81.66422,528.33594,190.61684,70.85542,141.60896,19.17769,852.5219,755.58435,6.8483233
81.88442,379.7342,350.1196,55.77703,130.00557,17.31378,889.6467,718.88983,6.734723
81.976585,522.5062,282.51868,80.2771,128.74808,11.595346,1083.8375,627.12506,5.6637354
82.32237,401.15973,306.15958,31.802246,127.80957,22.202894,959.3508,652.9144,6.532941
82.63348,512.0091,356.72385,11.587848,163.75807,21.078583,843.6546,671.3273,4.859072
83.10588,539.91833,311.62753,136.56189,188.56558,24.55176,851.03827,596.75287,6.704386
84.77703,531.5739,304.07498,77.61542,136.67366,11.998752,856.3326,695.59863,4.428551
84.82332,526.82117,302.303,94.05937,164.9599,18.382881,945.42267,734.06915,6.6405854
85.00651,538.0669,345.00638,104.71529,177.79443,28.438133,966.4822,611.52747,6.2472763
85.23808,512.36707,337.0259,53.211483,160.1497,14.698139,917.8916,773.3831,6.4872413
85.2747,474.97424,315.48343,87.5582,147.1974,27.903172,914.73553,602.2394,5.8769636
85.40035,503.13507,348.26294,66.73214,163.07004,24.173069,912.6445,745.89087,6.4137745
85.44084,468.3352,295.07846,60.16661,122.29625,19.630264,1066.1279,651.9565,6.644619
85.74255,464.20175,358.7832,87.46277,130.50409,17.108856,990.317,697.89777,5.71084
85.76756,509.2103,346.061,54.728317,165.65826,10.552688,990.0695,674.06195,6.5993595
85.79897,506.04587,197.68474,20.616606,143.29991,11.481261,927.9844,693.656,6.850674
85.80644,529.88135,285.52374,60.26214,134.36438,30.859339,1123.0186,605.98615,6.0685544
85.889465,443.81757,340.24045,86.542274,161.46751,16.764519,871.93567,649.0831,6.7301493
85.95126,474.09924,294.23422,47.45635,146.99956,19.06597,911.8063,644.302,6.095433
86.202995,489.19977,314.14294,29.066422,132.43747,0.448758,868.14087,718.5334,6.6089606
86.398476,514.0871,296.16507,54.200115,180.43428,12.189411,949.58496,596.84265,6.700336
86.40715,467.67813,283.53253,9.350745,144.89297,26.947289,1013.4979,606.01154,6.6046042
86.48205,528.4268,299.03558,132.9046,159.67543,21.204014,912.99744,693.2822,6.9216776
86.521,480.75018,284.57907,110.99131,143.01198,11.049063,867.5295,617.3827,6.15309
86.767746,492.3117,309.2761,107.32004,132.928,29.108763,842.1982,818.4212,6.5807676
87.650444,526.3217,354.19843,137.32028,141.59106,12.969733,1010.8738,671.53,5.579764
87.66048,532.59784,254.63109,92.864876,136.08044,1.0512048,850.8615,687.7735,6.8741665
87.675964,517.11053,231.0224,8.419913,127.72638,6.5735626,1004.34576,699.0631,6.3752775
87.799255,516.63965,332.5567,142.9385,144.29277,5.070833,966.18317,598.9013,5.9844384
87.85182,503.58786,317.61,114.20204,141.9213,6.101085,823.9988,674.02826,5.950526
87.88502,519.72687,355.29132,121.51797,169.87189,28.79179,883.14905,687.7146,6.4739347
88.28904,539.7942,330.3758,162.08714,129.67456,14.205014,949.0412,700.55164,5.520305
88.312294,488.7659,331.15228,51.196346,129.43431,22.705982,993.2786,610.45624,5.1768394
88.39118,533.5869,321.77963,80.422935,152.57564,14.900568,1054.5055,658.0433,6.1690836
88.76204,466.72183,281.33377,37.54246,140.38557,23.208725,973.0204,618.0726,6.563859
88.8276,491.56616,321.6532,62.050606,136.93121,23.514523,980.97034,646.23444,5.6727567
89.00978,538.6975,330.81427,4.865754,146.35268,26.159029,832.8248,893.5059,6.0490584
89.03179,421.28128,307.31903,42.870144,126.9717,25.6732,918.62067,693.2012,6.99328
89.344734,481.48544,324.7767,31.807838,141.11191,15.684709,1042.9397,606.3865,6.158672
89.43498,530.0462,275.15118,11.176359,135.92184,10.5589285,942.63153,737.499,5.448218
89.508965,516.44495,277.5155,99.320656,131.34576,21.395744,888.76276,788.0426,6.499816
89.81185,515.9403,353.45346,67.02669,135.64279,27.674335,1022.8547,733.9721,5.6630526
89.96602,514.4159,357.657,12.809439,127.08394,13.887441,932.33655,686.13727,4.006828
90.06096,533.3994,219.36382,63.68034,127.35711,3.4175727,908.8119,631.17926,6.1404247
90.09153,467.40228,297.44977,111.45285,123.74499,21.725157,875.78925,729.49854,6.9904876
90.16442,490.97562,317.41345,2.1088946,125.545685,5.069901,991.2425,608.51733,5.550581
90.16948,422.71945,346.72885,85.97005,128.20583,19.15638,911.09955,599.59595,6.1709447
90.2498,514.3793,254.61015,8.292091,131.26329,24.560795,1042.577,655.0652,6.4144993
90.548874,460.48712,341.32816,14.751102,132.86798,27.959513,851.5054,800.27734,6.44235
90.872055,524.7703,232.01056,60.104553,128.79796,25.905306,973.99384,622.33954,6.7509212
90.95103,527.4379,260.37927,93.7145,130.70654,19.778816,845.2838,754.8668,6.3380284
91.15301,388.89975,356.6435,35.599205,137.67186,17.747276,856.5884,649.13446,6.767265
