Concrete Compressive Strength,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age
111.55002,502.91904,354.58423,152.79393,147.76027,13.0230875,1074.3887,764.6772,203.89859
110.928795,500.71506,339.29166,86.56165,149.77216,11.539039,831.52783,748.80975,274.11884
109.927475,530.36383,285.93628,158.99925,148.47778,6.873736,1106.4336,755.15063,125.514084
109.67466,539.9091,304.13202,115.72077,144.62173,14.770341,822.9055,772.40094,208.26404
109.4767,539.9727,248.1672,115.835266,144.4806,11.290707,1086.7054,740.406,350.95013
109.43528,528.0309,358.9446,96.66151,150.25334,4.7174096,1123.3413,741.0523,240.16663
109.37772,462.01758,343.9893,126.89112,144.87097,8.421377,1131.3589,757.06696,226.29134
109.30759,519.07745,299.42078,192.77748,142.53705,11.755416,829.6664,748.4876,351.96875
108.84335,532.5988,352.71503,158.51015,143.6847,6.84049,1121.2523,770.955,181.39037
108.816895,501.11453,282.56006,136.9258,146.20627,3.216237,1141.2648,788.09406,304.455
108.436516,526.5696,340.28308,187.16252,149.70209,6.4473815,1116.6793,698.01025,279.68234
108.207756,519.11554,316.1453,141.13081,151.81154,11.182896,1120.4747,721.0736,257.6684
108.060524,529.8881,354.9915,118.18067,145.40347,13.90297,1085.2412,785.1254,259.45648
107.91603,499.10925,311.8655,192.74805,151.0765,13.326874,1081.418,730.3412,200.38226
107.8504,512.2516,278.41086,141.2721,151.05597,10.017068,1083.788,759.61316,248.6004
107.78,532.405,295.3943,72.127525,144.6757,12.1108,1075.884,745.0028,246.42334
107.750854,531.1604,312.66953,106.69689,140.94742,11.396995,1135.5988,733.97797,207.45743
107.54552,472.5654,358.92758,85.00452,147.15048,20.109478,1119.701,742.10675,269.3849
107.34239,467.9987,353.15878,85.320724,146.8524,18.64235,1106.503,744.92596,240.37268
107.21896,522.2885,326.78012,170.93495,153.41324,22.353916,1118.4949,752.10925,307.59384
107.08504,531.67566,328.63705,177.37231,140.4174,19.085487,1098.0369,759.46704,126.10702
