Concrete Compressive Strength,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age
133.2638,522.86346,333.728,198.08371,153.33598,24.695175,814.90906,772.0719,43.76722
133.49947,466.32462,292.9447,194.14261,144.31444,16.909319,814.4061,715.1754,117.67681
134.2149,520.07355,309.4812,177.13875,160.408,13.018148,1035.1311,820.7616,41.93889
134.67839,351.16144,332.98154,176.08195,145.50807,11.402449,1025.4746,811.48285,59.318604
134.84885,536.38196,285.68137,156.31403,135.94485,20.661884,883.8972,739.8059,115.78236
134.87538,505.26205,309.13284,150.33339,174.70625,9.837698,1102.285,760.7207,78.39693
135.06401,534.4779,320.22803,171.40268,132.03772,27.236876,808.5556,730.20056,43.456142
135.18889,496.84036,353.90323,125.20477,146.73723,16.495087,961.6477,736.07794,77.306
135.20076,506.9595,346.94357,119.306725,151.96953,6.4291115,1093.0038,830.5163,198.75497
135.36188,396.08475,352.81235,178.87048,131.93674,27.26502,1073.337,779.617,72.89454
135.5576,419.483,315.7544,146.90445,122.75175,14.05856,809.53595,909.6641,75.67125
135.90636,528.40564,279.05972,111.94656,150.26762,7.8040915,1140.2146,740.3756,190.34175
135.92642,471.60718,339.92667,182.46486,152.11508,17.622736,853.5279,794.7449,46.629658
135.94513,468.06064,356.89047,169.94736,142.08702,12.937608,879.868,836.908,38.881927
135.99051,520.74677,324.02914,126.58622,135.7967,8.394382,842.0529,924.3453,166.61656
136.21216,478.88757,321.22458,197.08635,123.239555,29.072298,1132.8464,768.1623,157.88356
136.23051,409.15674,355.08032,188.04184,150.19545,9.54448,1142.1874,933.653,132.28265
136.25435,506.46347,289.2085,161.48058,138.92418,14.076135,832.52026,734.0135,187.79257
136.30365,518.1895,320.81232,193.26056,131.926,10.195322,870.06146,710.85345,134.61043
136.31238,448.83228,356.65466,197.72125,130.77354,7.588683,972.7391,866.619,89.780075
136.35863,529.1508,303.08688,127.827614,132.377,27.065443,1114.1125,790.8021,123.20202
136.4894,492.5854,293.38678,185.02582,138.51216,18.478426,1107.726,870.9019,109.484795
136.50175,463.5491,300.6828,154.24112,149.6924,6.7856355,1120.658,728.26886,68.70294
136.50714,435.42307,302.90198,161.98993,133.43773,6.342582,846.3658,833.3489,88.366714
136.52994,485.6055,343.86395,149.11928,153.70561,6.27303,1109.2693,809.86743,245.9769
136.54346,522.0359,355.29715,193.3953,148.87895,20.246,966.0651,727.75226,109.3532
136.5917,477.30972,344.19778,184.82362,140.414,12.996912,836.3395,962.32056,126.54084
136.64032,510.94882,296.76114,162.93399,153.31317,12.034944,934.55457,776.1168,122.326614
136.77602,426.14224,333.1084,114.915955,144.51836,9.45558,1139.9595,830.916,48.922882
136.8706,499.66907,214.00589,126.25551,126.88684,11.580062,810.42694,807.07495,54.526157
136.90686,450.51953,334.6367,113.20887,121.831,11.933833,1144.473,866.4493,128.05751
136.9412,487.73456,223.41235,199.2646,123.09054,14.7101965,822.79443,762.6245,66.87176
136.99794,496.06107,356.35742,196.3676,132.65501,2.2828789,1098.2047,824.7095,169.17183
137.0024,495.76315,285.82425,144.46799,144.86075,17.449236,1143.3478,778.132,214.64944
137.02536,515.149,310.55807,160.79659,129.0468,26.379816,850.22235,820.52466,57.643417
137.07643,520.83826,332.05957,190.02379,153.40051,6.920297,1040.595,724.7945,42.769787
137.09792,527.41284,282.77618,189.19858,122.61255,10.65087,1039.0734,709.9144,91.21439
137.13644,460.30457,341.94608,192.81381,141.17265,18.09472,833.8461,862.07983,141.73653
137.14734,511.2213,329.6531,140.3881,127.911194,4.5922675,865.1394,819.19836,158.16449
137.1703,374.784,323.15955,150.91325,146.06334,11.118261,1084.5054,802.3115,54.939743
137.18092,480.40594,317.11392,148.35751,131.55464,5.0326915,863.29816,755.5996,98.08689
137.27872,498.0413,189.83221,179.71361,147.63583,9.438385,828.32697,787.0366,136.6223
137.28476,531.5331,337.43332,152.04742,143.77005,17.51633,1043.8231,906.2014,110.117325
137.299,458.50525,328.7755,193.87035,122.82944,10.987176,1112.7693,861.6336,54.160423
137.34526,498.10318,258.64267,188.34985,140.29845,17.169754,880.4536,763.4289,99.73704
137.35318,495.90015,329.49658,168.06905,132.61453,8.984485,902.10376,771.3289,187.13141
137.35596,372.80078,331.77798,143.70245,135.28316,19.442219,1136.3219,781.61334,141.31023
137.39816,484.39124,343.14493,153.37392,124.18947,14.937916,909.82104,873.716,47.1182
137.42458,507.3032,216.26393,150.87135,146.7936,13.032355,821.63916,780.8294,82.68419
137.43652,526.9845,357.51773,170.05211,170.39119,8.027643,1085.2488,890.1458,118.28083
137.46751,517.0305,339.7876,189.13321,129.27592,24.804827,825.6673,807.99976,249.55624
137.4841,530.0174,337.07382,139.84596,135.10672,24.738152,828.7713,848.9447,159.93463
137.50677,505.70197,359.16498,170.56409,138.35855,23.8231,1060.4691,803.73267,60.95946
137.5423,515.7211,294.45074,178.6287,149.26193,16.938963,826.11914,856.27545,186.9639
137.56058,418.66803,343.52228,144.02875,137.12466,10.328789,990.0134,783.08795,158.05591
137.57024,500.96857,269.4588,178.77515,155.40755,11.502426,848.93835,827.5942,125.89627
137.59338,472.302,317.2326,143.92404,145.37614,15.241884,1112.6654,742.6807,158.07692
137.62236,405.15457,331.60754,167.63528,147.67339,8.937679,1038.6615,804.8752,162.4441
137.64857,534.9357,282.80914,167.97574,148.58917,5.557114,975.19366,866.44244,66.27684
137.6788,512.2712,355.61523,196.18109,124.14641,14.011347,925.9215,959.34753,101.218056
137.7037,441.20776,352.44226,140.62823,129.69228,13.488177,933.054,767.65063,67.7723
137.72948,495.74902,288.52713,186.23361,128.42986,9.523069,1138.8707,725.96106,166.15823
137.76595,534.40466,214.9807,145.43881,137.4405,11.843396,832.75256,849.0303,104.078964
137.80666,535.23816,322.70956,140.4199,150.53438,9.8145,907.42395,855.87604,139.0423
137.91231,527.24445,232.75758,139.3954,138.35588,7.3171034,830.85736,765.4364,168.51428
137.95746,515.8888,247.56767,198.13815,143.27182,16.164984,825.15094,879.99817,93.839676
138.01982,534.52356,309.74026,169.71295,135.48555,18.623276,851.2365,760.33014,202.8512
138.03725,537.18384,303.0702,134.05237,128.69957,18.9734,1128.5056,819.4715,52.350536
138.05125,511.29068,331.41663,139.46625,127.561134,8.9429,1120.5815,907.2343,84.06437
138.05641,527.70087,282.3928,141.3913,142.58965,11.339653,1098.2833,918.7006,99.80624
138.08629,501.13403,327.15723,135.1478,135.07811,17.694992,1020.99866,823.064,87.90951
138.25847,484.98804,266.48465,163.63104,163.19728,11.488851,1134.6232,790.53937,132.02995
138.29454,514.05273,299.56833,139.7738,132.4478,16.570253,830.1494,934.91425,101.85046
138.2984,531.2052,303.77884,142.5917,150.71233,6.3899145,1114.6603,928.1989,123.40847
138.34036,447.59894,338.16528,147.3075,130.60054,6.9118013,1073.9618,816.2131,121.16745
138.37387,388.84653,327.81906,198.882,148.01532,15.4081545,1025.654,784.7902,88.74764
138.37968,485.59946,347.24622,166.40794,146.4017,6.359517,1078.1473,877.6151,215.08237
138.38924,484.06406,271.8562,197.68571,134.19182,14.739848,1003.25543,834.89624,109.29088
138.40778,507.63565,352.04846,115.91779,122.341484,15.043142,827.22156,823.7968,29.613806
138.42441,476.41257,313.89954,174.57976,156.11076,9.696537,857.6173,786.6615,55.16051
138.44498,424.93616,326.23572,190.42056,124.561935,19.037785,1072.0883,811.9358,91.76001
138.45059,471.39496,353.8381,160.04076,135.52638,17.484013,1125.1665,846.01715,60.15425
138.46703,442.06042,352.51642,154.73125,125.693405,24.115755,802.1942,845.8817,156.83797
138.48985,437.9198,343.39752,187.13446,156.88895,13.394913,1117.1925,756.0093,192.58604
138.50102,520.3994,347.72424,155.13103,142.60378,11.663567,960.7574,848.04285,198.7883
138.54117,366.2395,354.67926,181.39354,157.76352,14.540884,1140.208,864.81525,142.50494
138.55032,516.99817,359.2509,123.15443,142.40056,10.994211,944.7143,756.5132,44.389744
138.55522,521.09265,343.03992,184.64464,143.26073,2.6721323,1060.8357,937.606,163.89465
138.55666,533.06616,341.367,76.40064,137.75093,10.899857,808.6229,837.1112,132.48982
138.56082,470.88742,349.61218,175.22713,128.16748,13.25889,952.3037,734.39124,121.60448
138.5649,538.3152,291.42273,175.73474,140.2625,21.18095,876.9568,772.3009,111.71216
138.56708,526.95465,282.69604,141.35205,151.47589,7.498694,1047.4453,754.22266,52.864044
138.58562,500.3335,327.9926,188.52588,130.39815,12.664578,982.00165,761.8992,30.820547
138.61487,433.28876,330.45258,170.88011,158.75748,2.6697357,1116.4156,780.75684,92.955086
138.6371,534.7621,260.4998,189.45576,133.80307,16.806017,873.38763,811.3187,58.6265
138.6657,536.2967,234.652,169.07616,123.443436,7.796478,845.43085,826.2455,145.33366
