Concrete Compressive Strength,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age
90.88899,509.25006,273.8594,65.39318,122.160286,13.637945,951.8619,970.8762,258.88608
91.56904,364.1877,181.20486,124.14383,168.94145,9.418566,821.8816,809.83966,235.77019
93.3775,461.91592,261.64505,21.927877,154.61826,13.185123,878.4955,758.2065,290.36963
93.476585,363.63263,354.21664,33.78958,146.19106,17.038982,926.63666,836.0717,364.96124
93.688995,427.84586,314.44116,187.46716,193.66153,27.669083,899.0914,957.2953,146.3408
95.64158,509.60587,159.27989,14.106976,152.83517,24.681728,1118.0132,866.7939,115.00415
95.67075,374.73895,241.32916,39.07,135.90756,23.206047,983.7271,799.11896,189.30215
95.87779,407.56546,227.41315,123.002235,177.2152,11.683332,1024.2,740.0133,163.64401
95.877975,421.61206,242.42912,163.26628,216.70714,6.19695,1020.36475,748.74677,287.62125
95.985596,530.386,194.90565,166.67982,220.99557,5.541625,838.96643,754.6546,319.88132
96.10334,342.70212,208.20033,139.51768,163.06267,22.90143,1063.2175,775.54553,60.78503
96.886345,484.24405,125.39743,176.28236,174.8806,19.651377,989.7607,765.2033,116.96839
96.889015,517.40015,195.52019,128.45975,180.39934,13.298329,1063.0795,699.46014,149.62782
96.97724,497.5432,240.03964,43.249817,140.35251,27.624449,852.5519,813.57355,171.15475
97.4794,443.47525,249.2363,192.01044,187.13484,24.138762,1092.644,909.04236,124.806564
98.04288,372.86282,341.05365,93.75039,175.34006,12.265226,842.4497,857.1283,80.79154
98.12993,425.96152,349.6733,21.129726,173.5761,3.4862332,1110.0444,831.93555,298.64615
98.26896,403.21622,337.76984,169.11833,213.00587,2.3454914,1092.9392,699.3233,219.47653
98.70096,440.64267,248.3695,199.05003,188.01157,5.381323,862.1702,958.49274,122.928474
98.74837,537.31805,344.2393,56.9817,211.71204,9.806643,1012.4385,794.9834,323.05026
98.77174,328.05966,243.23245,173.3131,129.41801,6.0245204,1068.0956,863.3156,130.69443
98.845436,299.6714,199.06111,163.63145,145.43051,15.17067,1083.2058,838.378,181.6968
99.15249,539.4991,152.13277,142.1681,161.56088,0.989554,849.63275,862.2339,346.67108
99.494225,526.2911,12.544917,175.43874,139.96011,16.616522,1043.0692,747.77356,324.0101
99.702034,531.0767,139.29782,61.986195,139.95604,13.771636,1094.9325,886.2185,323.85764
99.784515,367.50693,346.4462,44.674335,166.00371,24.408552,969.9365,739.89703,95.23741
99.89289,491.5288,165.46571,193.64743,197.7437,6.343581,816.2723,793.7678,252.54047
100.07703,528.93384,279.3821,26.7931,145.7351,3.451035,932.01794,969.6401,237.34076
100.150925,475.14084,318.265,195.6221,203.19063,25.167421,846.8848,672.3819,281.61896
100.292656,431.96246,289.90704,182.56676,137.29718,3.58975,1083.5359,835.4138,23.654703
100.3703,466.31476,226.23425,114.56033,181.95772,14.559757,819.36383,787.29865,245.25362
100.49382,459.38858,300.8266,39.94959,165.07407,30.696259,1029.0408,871.9655,210.02943
100.84413,473.54883,350.94714,139.42056,130.77022,2.3271642,947.13934,920.9424,43.930832
100.85575,350.5655,320.98767,144.85439,168.54811,17.97807,842.0179,966.3931,197.07324
100.90671,451.02377,332.81897,75.49356,188.07791,12.527601,807.09296,628.41235,204.48853
100.98176,452.4742,40.830578,169.50339,128.25815,15.835315,1102.0973,765.3137,128.95876
101.04221,402.5354,121.34542,160.66452,136.23105,22.642714,1075.3022,773.81305,176.3559
101.15084,526.55914,126.95948,174.33359,155.68335,24.823908,993.434,709.91693,68.33236
101.244995,514.30347,232.08968,158.31009,207.91823,13.601937,1099.5789,827.34485,172.68796
101.31034,344.19107,324.86688,180.39845,199.82652,11.522601,890.9959,783.2974,265.3787
101.31646,454.06616,294.54968,167.13712,150.39555,18.231932,906.81494,658.12756,56.893303
101.56358,265.30994,266.2018,182.70552,162.36967,8.085783,869.148,797.50726,139.3462
101.5732,517.57654,356.48114,107.00892,191.39406,4.358818,978.4663,828.6114,225.54173
101.59002,514.13153,291.59457,123.42714,158.53384,26.190844,902.34894,885.48364,278.58554
101.70858,309.66226,328.03238,187.06902,207.9133,9.322383,1043.883,848.0312,94.15916
101.74853,457.47302,321.59308,47.848766,201.6498,11.953054,1131.3301,802.61523,77.87552
101.78709,399.47073,199.90689,167.97057,147.15565,19.442589,987.05774,798.4075,339.28104
102.15327,468.31143,290.9851,91.493706,152.93384,27.195713,1020.53925,762.3938,360.55057
102.20769,534.9364,206.74753,180.94452,191.67441,28.651619,1040.7224,799.80115,112.826935
102.270935,332.55692,239.97046,113.18977,123.7849,22.412746,1087.1028,812.1081,110.50524
102.36779,412.44507,332.92395,61.949425,169.82587,16.370459,835.2434,659.11084,131.64537
102.39145,389.93878,334.30716,55.13787,163.1545,30.329107,1131.2874,908.0409,243.46094
102.57841,284.5077,326.40207,140.9301,185.18979,12.650097,1080.1434,848.1959,81.52543
102.596725,411.92438,351.49594,132.86736,163.70105,12.975542,1076.2422,827.3736,23.97718
102.876236,519.9461,256.5595,138.54959,204.08344,1.4360031,1131.2041,837.18207,139.66716
103.11022,405.85907,288.35138,29.317427,146.92923,19.309486,1044.0581,878.40125,139.37172
103.20866,427.99112,187.3766,166.78006,140.90576,18.094727,1144.7573,703.01794,355.22238
103.2146,536.1659,286.60394,99.86218,175.17178,27.087614,839.48846,814.4012,105.898766
103.22249,516.50354,355.0805,94.7226,156.37126,27.43171,938.6816,693.615,336.86606
103.4187,485.97455,232.31914,163.94756,194.30798,2.3535109,1093.4207,754.27277,354.40292
103.610405,349.5562,312.4417,140.75835,146.36594,18.055351,905.963,837.1113,300.83966
103.72557,499.1073,325.8168,57.67068,130.1626,0.640864,964.61053,731.1795,157.81535
103.729095,506.29315,111.55408,131.91927,163.45761,11.42504,1077.2924,884.1878,152.01898
103.76285,532.13544,179.08897,181.682,180.07951,4.6578164,982.10187,734.595,48.156693
103.772736,537.7371,254.68208,169.54936,218.64291,6.8274326,890.4368,740.37976,188.52419
103.77719,406.57416,332.24142,91.770355,161.93562,14.653456,803.46356,694.39856,285.3707
103.78895,376.46893,303.02872,168.98059,174.10431,6.6218066,880.22974,721.7855,163.87589
103.804634,496.60864,317.78134,100.60931,144.41644,22.333698,869.1907,667.5699,295.58597
103.97043,346.30408,314.49506,119.458824,136.61601,24.369207,1070.9641,882.5763,310.557
103.97092,533.30164,89.11805,195.64732,161.08339,12.913552,846.6699,726.24866,183.19025
103.99965,528.42365,165.48106,134.55699,132.67229,17.944656,1028.6179,943.93384,205.66455
104.04742,350.7671,359.17075,28.17583,161.15158,8.062043,802.2523,718.7069,176.55472
104.06321,457.00894,277.61383,178.57196,204.51108,17.245615,1046.308,796.29834,62.594303
104.11721,455.3422,220.68204,99.4388,135.78896,18.968006,995.4802,800.0558,185.14755
104.13136,344.1057,341.5139,30.623655,135.82492,19.042711,1038.07,837.33984,273.59814
104.198524,498.55136,291.47122,9.730341,145.88654,17.662165,918.42865,718.9238,228.7209
104.29275,328.71323,299.90857,167.8454,171.21796,4.5431294,869.1895,806.9846,85.33438
104.33166,474.61002,336.62,126.550224,175.00272,11.28071,852.648,712.0991,29.270403
104.359634,401.3416,176.40182,115.24918,140.23636,3.8863425,1037.2474,793.37744,167.59843
104.37956,400.76538,299.73032,147.1423,138.6766,16.44238,902.23553,872.71124,326.01843
104.43817,309.97824,335.55142,178.22166,136.39127,25.522467,939.17523,982.03253,101.92378
104.455605,414.3537,340.78543,198.24258,142.86133,7.0433354,1014.5932,625.70953,290.5689
104.46939,242.93279,289.77887,179.37604,169.69267,8.046384,1120.5728,817.99255,316.48596
104.48098,537.67914,94.51674,133.56897,124.48119,8.3259945,1078.8866,876.61,259.338
104.52924,511.62592,217.63538,176.90167,125.03392,11.574081,913.8419,744.77356,19.315893
104.54006,535.3718,290.6703,27.917868,194.81027,18.673311,1140.0891,760.05145,124.60314
104.550316,519.8908,152.45422,86.93155,134.58142,7.2775955,824.48755,809.4149,64.222336
104.656845,526.42926,113.20309,184.20732,127.43979,31.631485,991.7671,834.8412,211.28712
104.740234,505.53217,167.20428,181.89037,161.71898,31.05652,1058.7737,892.7134,177.77132
104.7608,420.56052,358.14966,99.51587,165.85353,5.902492,901.4072,774.7293,223.83833
104.76345,369.5759,333.06973,123.74041,123.19553,24.447128,1022.1132,717.1909,56.417847
104.78792,451.75464,266.89584,144.86215,141.06963,26.270111,1049.656,987.79846,104.08159
104.84141,518.53973,351.20886,88.88002,154.83519,31.136637,936.4828,920.9198,88.82228
104.86659,466.3999,226.82826,171.01413,164.99434,16.262545,1072.8635,974.3323,155.01785
105.007355,390.39603,311.90488,188.65657,173.39093,13.412511,1009.45197,967.9397,101.8622
